test for writing sensor data,,,,,,,,,,,,,,,,,,,,
Time, omega_x, omega_y, omega_z,cam1_x, cam1_y, cam1_z, cam2_x, cam2_y, cam2_z,g_x, g_y, g_z,true_omega_x, true_omega_y, true_omega_z,true_attitude_x, true_attitude_y, true_attitude_z,bias_err, attitude_err
0.000000192,0.999158,-1.00084,-1.00084,0.00484392,0.0861875,0.996267,0.171523,0.00312204,0.985175,0.532213,0.84366,0.0706206,-0.000842,0.00015,0.000666,-48.506,-32.032,85.158,1.73349,37.8278
0.0574399,0.999878,-1.00012,-1.00012,0.00484392,0.0861875,0.996267,0.171523,0.00312204,0.985175,0.530397,0.844653,0.0723872,-0.000122,-0.001603,0.001229,-48.505,-32.033,85.158,1.31777,28.491
0.119341,0.999502,-1.0005,-1.0005,0.00479354,0.0866045,0.996231,0.17154,0.00276688,0.985173,0.529459,0.845313,0.071543,-0.000498,0.001774,0.000452,-48.505,-32.033,85.156,1.04865,21.0612
0.154687,1.00102,-0.998976,-0.998976,0.00479354,0.0866045,0.996231,0.17154,0.00276688,0.985173,0.528187,0.846243,0.0699416,0.001024,-0.000808,0.00063,-48.509,-32.032,85.156,0.95557,17.8872
0.209846,1.00065,-0.999355,-0.999355,0.00484392,0.0861875,0.996267,0.171523,0.00312204,0.985175,0.52784,0.846138,0.0737281,0.000645,-0.001175,0.000285,-48.511,-32.032,85.157,0.874526,14.3235
0.226243,0.999686,-1.00031,-1.00031,0.00479354,0.0866045,0.996231,0.171523,0.00312204,0.985175,0.528674,0.845838,0.07115,-0.000314,0.000143,-0.000466,-48.51,-32.031,85.156,0.859772,13.56
0.28014,0.999729,-1.00027,-1.00027,0.00479354,0.0866045,0.996231,0.17154,0.00276688,0.985173,0.530603,0.844811,0.06896,-0.000271,-0.001959,-0.000166,-48.51,-32.03,85.156,0.82266,11.8447
0.304598,1.00019,-0.999814,-0.999814,0.00479354,0.0866045,0.996231,0.171523,0.00312204,0.985175,0.53001,0.844476,0.0771333,0.000186,0.00085,-0.00038,-48.509,-32.031,85.156,0.808181,11.4255
0.361906,0.999852,-1.00015,-1.00015,0.00475721,0.0863009,0.996258,0.17154,0.00276688,0.985173,0.529854,0.844985,0.0724945,-0.000148,-0.000107,-0.000061,-48.509,-32.031,85.155,0.775619,11.0574
0.386552,0.999523,-1.00048,-1.00048,0.00475721,0.0863009,0.996258,0.17154,0.00276688,0.985173,0.531056,0.84429,0.0717892,-0.000477,-0.001832,0.000265,-48.51,-32.031,85.154,0.760423,11.0668
0.441151,0.999005,-1.001,-1.001,0.00479354,0.0866045,0.996231,0.17154,0.00276688,0.985173,0.531132,0.844266,0.0715064,-0.000995,-0.000114,-0.001243,-48.507,-32.031,85.151,0.720449,11.2827
0.47578,0.999348,-1.00065,-1.00065,0.00479354,0.0866045,0.996231,0.171523,0.00312204,0.985175,0.52939,0.845308,0.0721106,-0.000652,0.000356,-0.00063,-48.505,-32.031,85.15,0.694208,11.5073
0.530187,0.998135,-1.00187,-1.00187,0.00484392,0.0861875,0.996267,0.171523,0.00312204,0.985175,0.528726,0.84586,0.0704968,-0.001865,0.001624,-0.000786,-48.509,-32.031,85.15,0.651952,11.8748
0.559218,1.00029,-0.999712,-0.999712,0.00479354,0.0866045,0.996231,0.17154,0.00276688,0.985173,0.530739,0.844348,0.0734305,0.000288,0.00068,-0.000027,-48.509,-32.031,85.152,0.626753,12.0158
0.617749,0.998289,-1.00171,-1.00171,0.00484392,0.0861875,0.996267,0.171523,0.00312204,0.985175,0.527278,0.846547,0.0730486,-0.001711,0.00101,-0.00047,-48.504,-32.031,85.15,0.58296,12.3027
0.647704,0.999174,-1.00083,-1.00083,0.00484392,0.0861875,0.996267,0.171523,0.00312204,0.985175,0.530332,0.844717,0.0721187,-0.000826,0.001464,-0.001255,-48.504,-32.031,85.151,0.558396,12.3524
0.702495,1.00093,-0.999066,-0.999066,0.00479354,0.0866045,0.996231,0.17154,0.00276688,0.985173,0.529092,0.845464,0.0724742,0.000934,0.00111,0.000678,-48.503,-32.031,85.152,0.519336,12.3635
0.729295,1.00097,-0.999033,-0.999033,0.00479354,0.0866045,0.996231,0.171523,0.00312204,0.985175,0.531298,0.844228,0.0707175,0.000967,0.001347,-0.001051,-48.503,-32.032,85.153,0.499579,12.2949
0.786208,0.99905,-1.00095,-1.00095,0.00479354,0.0866045,0.996231,0.17154,0.00276688,0.985173,0.528452,0.845911,0.0719315,-0.00095,0.000634,-0.000781,-48.504,-32.03,85.15,0.467609,12.1386
0.817389,0.998069,-1.00193,-1.00193,0.00484392,0.0861875,0.996267,0.17154,0.00276688,0.985173,0.531975,0.843692,0.0720212,-0.001931,-0.000023,-0.00023,-48.504,-32.03,85.149,0.451038,11.9559
0.880579,0.999932,-1.00007,-1.00007,0.00479354,0.0866045,0.996231,0.17154,0.00276688,0.985173,0.528818,0.846027,0.0677395,-0.000068,-0.002536,0.000406,-48.503,-32.031,85.146,0.416122,11.5605
0.911577,1.0002,-0.999802,-0.999802,0.00479354,0.0866045,0.996231,0.171523,0.00312204,0.985175,0.529806,0.845222,0.0700359,0.000198,-0.001748,0.000451,-48.503,-32.032,85.147,0.401051,11.3156
0.966263,1.00103,-0.99897,-0.99897,0.00479354,0.0866045,0.996231,0.17154,0.00276688,0.985173,0.530732,0.844407,0.0727955,0.00103,-0.000823,-0.000181,-48.504,-32.03,85.147,0.373601,10.808
0.994208,0.998118,-1.00188,-1.00188,0.00479354,0.0866045,0.996231,0.171523,0.00312204,0.985175,0.528129,0.846211,0.0707643,-0.001882,-0.000516,-0.001272,-48.503,-32.029,85.145,0.364561,10.5648
1.04856,1.0012,-0.998799,-0.998799,0.00451635,0.0866494,0.996229,0.17154,0.00276688,0.985173,0.530268,0.844895,0.0704845,0.001201,-0.001545,-0.000423,-48.503,-32.03,85.145,0.336615,9.99703
1.08075,0.999654,-1.00035,-1.00035,0.00480718,0.0858729,0.996294,0.17154,0.00276688,0.985173,0.52911,0.845391,0.0731922,-0.000346,0.000867,-0.000249,-48.504,-32.029,85.145,0.326427,9.66716
1.13829,1.00059,-0.99941,-0.99941,0.00484392,0.0861875,0.996267,0.171523,0.00312204,0.985175,0.530374,0.844779,0.0710705,0.00059,-0.001594,0.000828,-48.51,-32.029,85.146,0.300086,9.0262
1.1698,0.999994,-1.00001,-1.00001,0.00479354,0.0866045,0.996231,0.171523,0.00312204,0.985175,0.529333,0.845484,0.0704485,-0.000006,-0.002718,0.001077,-48.508,-32.029,85.144,0.287618,8.69009
1.22509,0.99955,-1.00045,-1.00045,0.00484392,0.0861875,0.996267,0.171523,0.00312204,0.985175,0.529755,0.845339,0.0690052,-0.00045,-0.000062,0.000999,-48.503,-32.029,85.142,0.26892,8.10289
1.28456,0.998662,-1.00134,-1.00134,0.00484392,0.0861875,0.996267,0.171523,0.00312204,0.985175,0.530467,0.844352,0.0753284,-0.001338,0.000297,0.000228,-48.502,-32.029,85.143,0.246693,7.48928
1.31223,0.999378,-1.00062,-1.00062,0.00484392,0.0861875,0.996267,0.17154,0.00276688,0.985173,0.528529,0.845708,0.0737221,-0.000622,-0.000419,-0.001326,-48.503,-32.028,85.142,0.234438,7.23612
1.37005,0.999386,-1.00061,-1.00061,0.00479354,0.0866045,0.996231,0.171523,0.00312204,0.985175,0.52863,0.845848,0.0713563,-0.000614,-0.002138,0.000344,-48.506,-32.029,85.141,0.215058,6.73379
1.42904,0.998434,-1.00157,-1.00157,0.00484392,0.0861875,0.996267,0.17154,0.00276688,0.985173,0.531532,0.844258,0.0685749,-0.001566,0.000558,-0.000436,-48.51,-32.029,85.14,0.201336,6.21472
1.49723,0.999742,-1.00026,-1.00026,0.00479354,0.0866045,0.996231,0.17154,0.00276688,0.985173,0.531034,0.844302,0.0718056,-0.000258,-0.001606,0.001347,-48.512,-32.029,85.141,0.180318,5.70711
1.52431,0.999949,-1.00005,-1.00005,0.00479354,0.0866045,0.996231,0.17154,0.00276688,0.985173,0.529821,0.844878,0.0739689,-0.000051,0.000382,0.000664,-48.509,-32.028,85.14,0.175103,5.54672
1.5788,1.00014,-0.999856,-0.999856,0.00479354,0.0866045,0.996231,0.17154,0.00276688,0.985173,0.530318,0.844449,0.0752933,0.000144,-0.000918,0.001168,-48.507,-32.028,85.138,0.161721,5.2546
