test for writing sensor data
Time, omega_x, omega_y, omega_z,cam1_x, cam1_y, cam1_z, cam2_x, cam2_y, cam2_z,g_x, g_y, g_z,true_omega_x, true_omega_y, true_omega_z,true_attitude_x, true_attitude_y, true_attitude_z,bias_err_proposed, attitude_err_proposed,bias_err_mahony, attitude_err_mahony
1.92e-07,0.000954,0.100954,-0.199046,-0.347466,0.114871,0.93063,-0.163013,0.148027,0.975456,-0.0196215,0.999468,-0.0260597,0.000954,0.001463,0.00071,1.647,1.217,91.329,0.223161,1.28976,0.223161,1.28976
0.0607012,-0.000322,0.099678,-0.200322,-0.347466,0.114871,0.93063,-0.163013,0.148027,0.975456,-0.0237904,0.999502,-0.0207272,-0.000322,-0.000326,-0.001289,1.648,1.216,91.329,0.377171,1.0361,0.63917,1.1028
0.124784,0.000138,0.100138,-0.199862,-0.347466,0.114871,0.93063,-0.163357,0.147996,0.975403,-0.0158819,0.999636,-0.0218248,0.000138,0.001255,0.001191,1.645,1.216,91.329,0.668846,0.764347,1.21433,0.876149
0.183035,-0.000116,0.099884,-0.200116,-0.346785,0.115373,0.930822,-0.163357,0.147996,0.975403,-0.0186061,0.999513,-0.0250466,-0.000116,0.000176,-0.002422,1.645,1.216,91.33,0.866391,0.536334,1.62553,0.660424
0.24376,-0.001125,0.098875,-0.201125,-0.347466,0.114871,0.93063,-0.163357,0.147996,0.975403,-0.01332,0.999511,-0.0282794,-0.001125,0.00175,0.002444,1.646,1.216,91.33,1.00929,0.335481,1.92889,0.443356
0.3074,0.001933,0.101933,-0.198067,-0.347466,0.114871,0.93063,-0.163357,0.147996,0.975403,-0.0283682,0.999292,-0.0247078,0.001933,-0.001527,0.001887,1.649,1.217,91.33,1.08565,0.180834,2.09702,0.252128
0.366616,-0.002499,0.097501,-0.202499,-0.347466,0.114871,0.93063,-0.163357,0.147996,0.975403,-0.017707,0.999578,-0.0230294,-0.002499,0.000739,-0.004155,1.649,1.217,91.329,1.11897,0.11616,2.14525,0.169454
0.425977,0.002086,0.102086,-0.197914,-0.34765,0.115151,0.930526,-0.163013,0.148027,0.975456,-0.0252391,0.999344,-0.0259543,0.002086,-0.000879,0.002331,1.652,1.217,91.33,1.10363,0.141719,2.0829,0.228649
0.487355,-0.001517,0.098483,-0.201517,-0.34765,0.115151,0.930526,-0.163357,0.147996,0.975403,-0.0210905,0.999609,-0.0183396,-0.001517,-0.000273,-0.002724,1.652,1.217,91.328,1.06615,0.19277,1.94548,0.330492
0.548225,0.00145,0.10145,-0.19855,-0.347466,0.114871,0.93063,-0.163013,0.148027,0.975456,-0.0192585,0.99929,-0.0323707,0.00145,0.001802,0.002654,1.649,1.215,91.33,1.00177,0.240374,1.74192,0.42248
0.620219,-0.001694,0.098306,-0.201694,-0.34765,0.115151,0.930526,-0.163357,0.147996,0.975403,-0.0155642,0.999485,-0.0280564,-0.001694,0.000113,-0.001207,1.648,1.216,91.331,0.908251,0.271882,1.45262,0.490758
0.687108,0.00101,0.10101,-0.19899,-0.347466,0.114871,0.93063,-0.163357,0.147996,0.975403,-0.0233726,0.999406,-0.0253118,0.00101,0.001182,0.001126,1.647,1.216,91.331,0.80843,0.286665,1.15783,0.522033
0.745621,0.00057,0.10057,-0.19943,-0.347466,0.114871,0.93063,-0.163013,0.148027,0.975456,-0.0213302,0.99956,-0.0206158,0.00057,0.000242,-0.001052,1.646,1.218,91.331,0.719009,0.288475,0.900212,0.524148
0.805305,0.001154,0.101154,-0.198846,-0.347466,0.114871,0.93063,-0.163357,0.147996,0.975403,-0.0212494,0.999435,-0.0260509,0.001154,-0.000735,0.000806,1.644,1.219,91.332,0.628218,0.285124,0.652684,0.509274
0.86487,-0.000862,0.099138,-0.200862,-0.347466,0.114871,0.93063,-0.163013,0.148027,0.975456,-0.0154635,0.999495,-0.0277524,-0.000862,0.002828,0.001215,1.644,1.218,91.333,0.548686,0.276057,0.44788,0.480337
0.925692,0.001314,0.101314,-0.198686,-0.347466,0.114871,0.93063,-0.163013,0.148027,0.975456,-0.0264923,0.999473,-0.0187484,0.001314,-0.000717,0.00055,1.641,1.218,91.333,0.462438,0.264916,0.303132,0.439131
0.985288,-0.002233,0.097767,-0.202233,-0.34765,0.115151,0.930526,-0.163013,0.148027,0.975456,-0.0153408,0.999606,-0.0235225,-0.002233,0.000549,-0.00065,1.641,1.217,91.332,0.397229,0.247891,0.288135,0.390675
1.04378,-0.000307,0.099693,-0.200307,-0.347466,0.114871,0.93063,-0.163357,0.147996,0.975403,-0.0293517,0.999488,-0.0127395,-0.000307,-0.00082,-0.002266,1.643,1.218,91.332,0.333318,0.228122,0.356936,0.337463
1.10349,0.000191,0.100191,-0.199809,-0.347466,0.114871,0.93063,-0.163013,0.148027,0.975456,-0.0138165,0.999288,-0.035104,0.000191,0.001692,0.003342,1.641,1.217,91.331,0.286907,0.209225,0.444976,0.286477
1.16289,0.001667,0.101667,-0.198333,-0.34765,0.115151,0.930526,-0.163357,0.147996,0.975403,-0.0268596,0.999502,-0.0165838,0.001667,-0.002634,-0.002708,1.638,1.218,91.331,0.238859,0.192658,0.516667,0.239707
1.22168,0.001716,0.101716,-0.198284,-0.347466,0.114871,0.93063,-0.16304,0.148339,0.975404,-0.0202994,0.999362,-0.029378,0.001716,-0.000116,0.003217,1.638,1.218,91.331,0.216627,0.173952,0.560331,0.200396
1.28057,-0.002118,0.097882,-0.202118,-0.347466,0.114871,0.93063,-0.163357,0.147996,0.975403,-0.0174788,0.999666,-0.0190121,-0.002118,0.000392,-0.004243,1.642,1.219,91.331,0.196767,0.152717,0.573558,0.169435
1.34031,0.000552,0.100552,-0.199448,-0.347466,0.114871,0.93063,-0.163357,0.147996,0.975403,-0.0187501,0.999286,-0.032787,0.000552,-0.00144,0.002245,1.64,1.217,91.331,0.185949,0.139949,0.574596,0.152974
1.41232,0.001224,0.101224,-0.198776,-0.347466,0.114871,0.93063,-0.163013,0.148027,0.975456,-0.0157641,0.999482,-0.0280477,0.001224,0.002458,0.002211,1.64,1.217,91.331,0.178134,0.1229,0.540209,0.144307
1.47692,-0.000223,0.099777,-0.200223,-0.347466,0.114871,0.93063,-0.163013,0.148027,0.975456,-0.0270478,0.999442,-0.0195969,-0.000223,-0.00079,0.00195,1.64,1.216,91.33,0.175299,0.112424,0.495599,0.143766
1.53651,-0.001412,0.098588,-0.201412,-0.34765,0.115151,0.930526,-0.163357,0.147996,0.975403,-0.0184985,0.999533,-0.024324,-0.001412,0.001618,8.4e-05,1.643,1.216,91.329,0.171788,0.0996995,0.441424,0.143108
1.5956,4.5e-05,0.100045,-0.199955,-0.347466,0.114871,0.93063,-0.163357,0.147996,0.975403,-0.0247258,0.999453,-0.0219671,4.5e-05,-0.000497,0.000305,1.644,1.214,91.33,0.168028,0.0939793,0.391421,0.140828
1.65448,0.000555,0.100555,-0.199445,-0.347466,0.114871,0.93063,-0.163357,0.147996,0.975403,-0.0218605,0.999453,-0.0248229,0.000555,-0.001582,0.00182,1.645,1.215,91.331,0.165768,0.0878084,0.340872,0.140147
1.71776,0.000709,0.100709,-0.199291,-0.347466,0.114871,0.93063,-0.163357,0.147996,0.975403,-0.0265593,0.999449,-0.0199195,0.000709,-0.001559,0.000105,1.644,1.216,91.331,0.159992,0.0853542,0.293168,0.138434
1.77927,-0.000404,0.099596,-0.200404,-0.34765,0.115151,0.930526,-0.16304,0.148339,0.975404,-0.0128287,0.999408,-0.0319178,-0.000404,0.001152,6.9e-05,1.646,1.216,91.332,0.15467,0.0793207,0.256206,0.132037
1.83784,0.003003,0.103003,-0.196997,-0.34765,0.115151,0.930526,-0.163013,0.148027,0.975456,-0.0293438,0.999423,-0.0171172,0.003003,-0.001915,-0.002316,1.649,1.216,91.334,0.145585,0.0765218,0.241853,0.126814
1.89781,-0.000695,0.099305,-0.200695,-0.34765,0.115151,0.930526,-0.163357,0.147996,0.975403,-0.0148941,0.999445,-0.0297882,-0.000695,0.00178,0.000343,1.651,1.216,91.333,0.143552,0.0709592,0.225376,0.119879
1.95889,0.001721,0.101721,-0.198279,-0.347466,0.114871,0.93063,-0.163013,0.148027,0.975456,-0.0315291,0.99937,-0.0162731,0.001721,-0.001549,-0.00041,1.651,1.216,91.334,0.13592,0.0724004,0.223033,0.118244
2.01768,-0.001673,0.098327,-0.201673,-0.347466,0.114871,0.93063,-0.163357,0.147996,0.975403,-0.0133338,0.999418,-0.0313857,-0.001673,0.001152,-0.000806,1.652,1.217,91.334,0.131085,0.0694015,0.221987,0.117105
2.07998,0.002602,0.102602,-0.197398,-0.347466,0.114871,0.93063,-0.163013,0.148027,0.975456,-0.0303374,0.999404,-0.0164921,0.002602,-0.002509,0.000163,1.65,1.218,91.335,0.123259,0.0735281,0.217646,0.121159
2.13906,-0.001263,0.098737,-0.201263,-0.34765,0.115151,0.930526,-0.162697,0.148369,0.975457,-0.0113651,0.999515,-0.0289759,-0.001263,0.001643,-0.000491,1.651,1.219,91.334,0.118677,0.0699133,0.214934,0.121438
2.19671,-0.001067,0.098933,-0.201067,-0.34765,0.115151,0.930526,-0.163013,0.148027,0.975456,-0.0215348,0.999582,-0.0192895,-0.001067,-0.00042,-0.001577,1.653,1.22,91.334,0.11213,0.0677723,0.204726,0.122512
2.25919,-0.001345,0.098655,-0.201345,-0.347466,0.114871,0.93063,-0.163009,0.147712,0.975505,-0.0185626,0.999526,-0.0245802,-0.001345,0.001107,-0.000412,1.656,1.221,91.333,0.10793,0.0630353,0.189396,0.121393
2.31831,0.001379,0.101379,-0.198621,-0.347466,0.114871,0.93063,-0.163357,0.147996,0.975403,-0.0241932,0.999579,-0.0160267,0.001379,-0.000175,0.000877,1.657,1.22,91.333,0.101982,0.0620361,0.167601,0.121893
2.34565,-0.000315,0.099685,-0.200315,-0.347466,0.114871,0.93063,-0.163357,0.147996,0.975403,-0.018059,0.999573,-0.0229564,-0.000315,-0.000948,-0.000855,1.658,1.22,91.333,0.0997523,0.060556,0.158553,0.121305
2.39955,-0.000868,0.099132,-0.200868,-0.34765,0.115151,0.930526,-0.163013,0.148027,0.975456,-0.0190635,0.999456,-0.0269131,-0.000868,0.001752,0.000975,1.656,1.221,91.332,0.0983695,0.0613519,0.139618,0.119857
2.4262,0.000853,0.100853,-0.199147,-0.347466,0.114871,0.93063,-0.16304,0.148339,0.975404,-0.0196168,0.999435,-0.0272796,0.000853,7e-05,0.001636,1.657,1.22,91.333,0.0952496,0.0603804,0.126695,0.119327
2.4802,0.001622,0.101622,-0.198378,-0.34765,0.115151,0.930526,-0.163357,0.147996,0.975403,-0.0252684,0.999427,-0.0225174,0.001622,-0.001404,-0.001847,1.66,1.221,91.335,0.0878668,0.0586597,0.104669,0.115457
2.50553,-0.00102,0.09898,-0.20102,-0.347466,0.114871,0.93063,-0.163357,0.147996,0.975403,-0.0160572,0.999636,-0.0216823,-0.00102,0.001835,-0.000975,1.662,1.222,91.334,0.090182,0.0553223,0.100579,0.111054
2.56737,0.000419,0.100419,-0.199581,-0.347466,0.114871,0.93063,-0.163357,0.147996,0.975403,-0.0290965,0.999353,-0.0211611,0.000419,-0.002773,0.001636,1.662,1.221,91.334,0.0876433,0.0556438,0.0768627,0.104714
2.59268,-0.000858,0.099142,-0.200858,-0.34765,0.115151,0.930526,-0.163357,0.147996,0.975403,-0.0176881,0.999632,-0.0205509,-0.000858,-0.00021,-0.001767,1.662,1.221,91.334,0.0845249,0.0553474,0.0752199,0.101848
2.6509,0.000889,0.100889,-0.199111,-0.347466,0.114871,0.93063,-0.163013,0.148027,0.975456,-0.0283481,0.999321,-0.0235554,0.000889,-0.003187,5.3e-05,1.661,1.22,91.334,0.0812837,0.0564919,0.0677864,0.0948308
2.70933,-0.000852,0.099148,-0.200852,-0.34765,0.115151,0.930526,-0.163013,0.148027,0.975456,-0.0136028,0.999446,-0.0303761,-0.000852,0.002043,0.002808,1.662,1.219,91.334,0.0832153,0.0530552,0.078498,0.086194
2.7724,0.002561,0.102561,-0.197439,-0.347466,0.114871,0.93063,-0.163013,0.148027,0.975456,-0.0287853,0.999217,-0.0271521,0.002561,-0.002419,0.000863,1.662,1.221,91.335,0.0741519,0.0539227,0.0831891,0.0759565
