test for writing sensor data,,,,,,,,,,,,,,,,,,,,,,
Time, omega_x, omega_y, omega_z,cam1_x, cam1_y, cam1_z, cam2_x, cam2_y, cam2_z,g_x, g_y, g_z,true_omega_x, true_omega_y, true_omega_z,true_attitude_x, true_attitude_y, true_attitude_z,bias_err_proposed, attitude_err_proposed,bias_err_mahony, attitude_err_mahony
0.000000192,1.00011,-0.999888,-0.999888,-0.34703,0.116171,0.930631,-0.163013,0.148027,0.975456,-0.0203508,0.999542,-0.0223961,0.000112,0.000531,-0.000445,1.623,1.186,91.16,1.36016,1.31941,1.36016,1.31942
0.0591806,1.00045,-0.999551,-0.999551,-0.346755,0.116125,0.930739,-0.163013,0.148027,0.975456,-0.0201069,0.999631,-0.0182698,0.000449,0.000122,0.000354,1.623,1.187,91.161,1.47766,0.690982,1.59209,0.840699
0.117407,1.00005,-0.999946,-0.999946,-0.34688,0.11604,0.930704,-0.163013,0.148027,0.975456,-0.0199026,0.999519,-0.0237811,0.000054,-0.000935,-0.000951,1.625,1.188,91.161,1.535,0.305519,1.74202,0.480156
0.174765,0.998464,-1.00154,-1.00154,-0.346755,0.116125,0.930739,-0.163013,0.148027,0.975456,-0.0219679,0.999487,-0.0232962,-0.001536,-0.000497,-0.000919,1.624,1.188,91.161,1.5595,0.141473,1.82186,0.236697
0.232778,1.00071,-0.999293,-0.999293,-0.346755,0.116125,0.930739,-0.163013,0.148027,0.975456,-0.0219584,0.999569,-0.0195073,0.000707,0.000788,-0.000658,1.624,1.189,91.159,1.55845,0.138298,1.84353,0.141435
0.291208,0.99887,-1.00113,-1.00113,-0.347515,0.115429,0.930543,-0.163013,0.148027,0.975456,-0.020152,0.99962,-0.0188221,-0.00113,0.000537,-0.000217,1.627,1.189,91.157,1.54924,0.172293,1.83013,0.196596
0.355036,1.00073,-0.999272,-0.999272,-0.346755,0.116125,0.930739,-0.163013,0.148027,0.975456,-0.0196514,0.999558,-0.0223125,0.000728,-0.000799,0.000446,1.626,1.187,91.157,1.52545,0.199036,1.77949,0.279576
0.422476,1.00114,-0.998862,-0.998862,-0.346755,0.116125,0.930739,-0.163013,0.148027,0.975456,-0.0192126,0.999565,-0.0223806,0.001138,-0.000643,0.000581,1.625,1.187,91.158,1.49927,0.212065,1.70779,0.343077
0.482213,0.999349,-1.00065,-1.00065,-0.346755,0.116125,0.930739,-0.163013,0.148027,0.975456,-0.0192845,0.99963,-0.0191824,-0.000651,0.001479,-0.000623,1.626,1.187,91.156,1.47854,0.217051,1.63742,0.380759
0.552229,0.999647,-1.00035,-1.00035,-0.346755,0.116125,0.930739,-0.163013,0.148027,0.975456,-0.0208423,0.999614,-0.0183903,-0.000353,0.001329,-0.000048,1.626,1.184,91.156,1.44936,0.221929,1.5432,0.411041
