test for writing sensor data,,,,,,,,,,,,,,,,,,,,,,
Time, omega_x, omega_y, omega_z,cam1_x, cam1_y, cam1_z, cam2_x, cam2_y, cam2_z,g_x, g_y, g_z,true_omega_x, true_omega_y, true_omega_z,true_attitude_x, true_attitude_y, true_attitude_z,bias_err_proposed, attitude_err_proposed,bias_err_mahony, attitude_err_mahony
0.000000224,0.0180994,0.0580213,0.00218153,-0.34703,0.116171,0.930631,-0.163013,0.148027,0.975456,-0.0206538,0.999563,-0.021165,0.002071,0.000291,-0.000901,1.61,1.18,91.18,0.059993,1.29486,0.0599928,1.29486
0.0636177,0.0177591,0.060177,0.00465231,-0.346755,0.116125,0.930739,-0.163013,0.148027,0.975456,-0.0214342,0.999549,-0.0210259,-0.000091,0.000788,-0.002472,1.609,1.182,91.18,0.0210414,0.354225,0.0529063,0.580367
0.127714,0.0169208,0.0520144,0.00689636,-0.346755,0.116125,0.930739,-0.163013,0.148027,0.975456,-0.0184977,0.99959,-0.0218702,0.000467,0.00113,0.000613,1.611,1.184,91.179,0.025244,0.0931688,0.105441,0.250804
0.188244,0.0179067,0.0550499,0.000992814,-0.346755,0.116125,0.930739,-0.163013,0.148027,0.975456,-0.0207229,0.999597,-0.0193958,-0.000582,0.00023,-0.000651,1.614,1.182,91.181,0.025413,0.0304843,0.119584,0.111151
0.250057,0.0150161,0.0482434,5.77872E-05,-0.34703,0.116171,0.930631,-0.163013,0.148027,0.975456,-0.022453,0.999568,-0.018983,-0.001567,-0.000514,0.000079,1.612,1.184,91.18,0.0302069,0.0312973,0.133288,0.0505669
0.326319,0.0105784,0.0482322,0.00453205,-0.346755,0.116125,0.930739,-0.163013,0.148027,0.975456,-0.0206505,0.999606,-0.0190148,0.000442,0.000921,-0.000161,1.614,1.186,91.179,0.0365336,0.0303002,0.139436,0.0229938
0.401795,0.013097,0.0432333,0.00256014,-0.34703,0.116171,0.930631,-0.16334,0.148045,0.975399,-0.021057,0.999492,-0.0239191,0.000589,-0.000025,-0.000302,1.616,1.187,91.181,0.0359446,0.0280698,0.141701,0.0212351
0.464513,0.0150033,0.0455968,0.00335304,-0.346755,0.116125,0.930739,-0.163013,0.148027,0.975456,-0.0205383,0.999631,-0.0177794,-0.000385,0.000139,0.000947,1.618,1.185,91.18,0.0322476,0.0278918,0.137664,0.0253287
0.527871,0.0103103,0.0440287,-0.000234431,-0.346755,0.116125,0.930739,-0.163013,0.148027,0.975456,-0.0189167,0.99962,-0.0200415,-0.000657,0.000308,-0.000301,1.62,1.186,91.18,0.0368856,0.0250542,0.140222,0.026497
0.588226,0.0115606,0.0449535,0.0031004,-0.346755,0.116125,0.930739,-0.163013,0.148027,0.975456,-0.0200164,0.999593,-0.0203227,0.000499,-0.000735,0.000435,1.62,1.185,91.179,0.0354906,0.0251338,0.136484,0.0295267
0.648291,0.0107145,0.037144,-0.00098858,-0.346755,0.116125,0.930739,-0.163013,0.148027,0.975456,-0.0217435,0.999485,-0.023581,-0.001692,0.001011,0.000086,1.621,1.186,91.177,0.0395486,0.0242986,0.143362,0.0306746
0.714254,0.010158,0.0371931,0.00391124,-0.346755,0.116125,0.930739,-0.163013,0.148027,0.975456,-0.0205289,0.999583,-0.0203246,-0.000766,0.000005,-0.001849,1.621,1.187,91.177,0.0395694,0.0238181,0.140089,0.0314443
0.787399,0.0114144,0.0364727,0.00324318,-0.347515,0.115429,0.930543,-0.163013,0.148027,0.975456,-0.0194003,0.999626,-0.0192982,0.000496,0.000802,-0.000062,1.621,1.186,91.177,0.0401876,0.025893,0.139833,0.0325578
0.85285,0.00903929,0.0332232,0.00388087,-0.346755,0.116125,0.930739,-0.163013,0.148027,0.975456,-0.0212191,0.999541,-0.0216271,-0.000389,0.000112,0.000482,1.618,1.188,91.178,0.0426621,0.0262345,0.140891,0.0337486
0.915055,0.0079103,0.0312548,0.001935,-0.346755,0.116125,0.930739,-0.163013,0.148027,0.975456,-0.0213802,0.999549,-0.0210733,-0.000082,0.001434,-0.001359,1.618,1.189,91.178,0.0456378,0.0260765,0.142716,0.0339455
0.975259,0.0082334,0.0300046,0.00198551,-0.346755,0.116125,0.930739,-0.163013,0.148027,0.975456,-0.0188234,0.999585,-0.0217902,-0.000102,0.00104,-0.000547,1.616,1.188,91.178,0.0457051,0.0266485,0.141727,0.0354864
1.05144,0.00956679,0.0285486,0.00241769,-0.347606,0.115718,0.930473,-0.16334,0.148045,0.975399,-0.0191724,0.999616,-0.0199882,0.000068,-0.00025,-0.000372,1.616,1.187,91.18,0.0446344,0.0292938,0.139159,0.0365081
1.1121,0.0108468,0.0286857,0.00513483,-0.346755,0.116125,0.930739,-0.163013,0.148027,0.975456,-0.0203736,0.99963,-0.0180306,0.000113,-0.001009,-0.000589,1.616,1.186,91.177,0.0429373,0.0284574,0.135745,0.0363715
1.18741,0.00516899,0.0307358,-0.000314545,-0.346755,0.116125,0.930739,-0.163013,0.148027,0.975456,-0.0203589,0.999532,-0.0228143,-0.001289,-0.001529,-0.000947,1.616,1.185,91.177,0.0440787,0.0277377,0.13406,0.0371335
1.25386,0.0102062,0.0238787,-0.00068567,-0.346755,0.116125,0.930739,-0.163013,0.148027,0.975456,-0.0194381,0.999628,-0.0191311,-0.000149,0.001055,0.000113,1.62,1.185,91.178,0.0477816,0.0255451,0.139254,0.0351951
1.32852,0.0055772,0.0276559,0.0021556,-0.346755,0.116125,0.930739,-0.163013,0.148027,0.975456,-0.0213252,0.99953,-0.0220394,-0.001106,0.000747,0.000397,1.62,1.184,91.176,0.0467278,0.0260385,0.134609,0.0362702
1.38994,0.00573782,0.0213057,0.00232518,-0.346755,0.116125,0.930739,-0.163013,0.148027,0.975456,-0.0199133,0.999547,-0.0225684,-0.000047,-0.000889,-0.000074,1.621,1.184,91.177,0.0503945,0.0250424,0.137356,0.0358454
1.45437,0.00857795,0.0259532,0.000569448,-0.34703,0.116171,0.930631,-0.163013,0.148027,0.975456,-0.0196704,0.999621,-0.0192627,-0.00057,-0.000032,0.000397,1.622,1.184,91.177,0.0451611,0.0246068,0.13125,0.0350539
1.51574,0.00964175,0.0242756,0.00054667,-0.346755,0.116125,0.930739,-0.163013,0.148027,0.975456,-0.0213804,0.999558,-0.0206643,0.000374,0.000843,0.000532,1.621,1.187,91.177,0.0467059,0.024387,0.13188,0.033468
1.58352,0.00669804,0.0277811,-0.000370511,-0.346755,0.116125,0.930739,-0.163013,0.148027,0.975456,-0.0186221,0.999559,-0.0231242,0.000986,-0.00062,0.000303,1.618,1.188,91.179,0.0453654,0.0248452,0.127277,0.0337232
1.65093,0.00438369,0.0215538,-0.00559967,-0.346755,0.116125,0.930739,-0.163013,0.148027,0.975456,-0.0210292,0.9996,-0.0188854,-0.00118,-0.00032,-0.000731,1.618,1.19,91.18,0.0502939,0.0272371,0.132265,0.0339238
