test for writing sensor data,,,,,,,,,,,,,,,,,,,,,,
Time, omega_x, omega_y, omega_z,cam1_x, cam1_y, cam1_z, cam2_x, cam2_y, cam2_z,g_x, g_y, g_z,true_omega_x, true_omega_y, true_omega_z,true_attitude_x, true_attitude_y, true_attitude_z,bias_err_proposed, attitude_err_proposed,bias_err_mahony, attitude_err_mahony
0.000000256,0.997958,-1.00204,-1.00204,-0.0449009,0.261904,0.964049,0.137956,0.262642,0.95498,0.0149314,0.999481,0.0285332,-0.002042,0.009787,-0.003504,-117.312,-0.893,88.298,1.73807,49.45,1.73807,49.4501
0.054906,0.99759,-1.00241,-1.00241,-0.0449009,0.261904,0.964049,0.137886,0.262943,0.954908,0.0138999,0.999464,0.0296395,-0.00241,0.002634,0.000328,-117.294,-0.895,88.296,1.54398,42.6385,1.52104,50.1196
0.0809095,1.00007,-0.999929,-0.999929,-0.0449009,0.261904,0.964049,0.137886,0.262943,0.954908,0.0201294,0.99942,0.0274863,0.000071,0.00836,-0.000918,-117.283,-0.895,88.295,1.48065,39.8754,1.4432,50.3764
0.137655,0.999206,-1.00079,-1.00079,-0.0449009,0.261904,0.964049,0.13789,0.263249,0.954823,0.0115605,0.999523,0.0286455,-0.000794,0.028452,-0.005925,-117.239,-0.893,88.291,1.39645,34.7719,1.37217,50.8515
0.201177,0.999674,-1.00033,-1.00033,0.143229,0.233191,0.961825,0.31753,0.227659,0.920514,0.0135709,0.999553,0.0266316,-0.000326,0.040722,0.005216,-117.11,-0.882,88.294,1.34455,32.0766,1.49028,51.4289
0.267252,0.998394,-1.00161,-1.00161,0.14285,0.233195,0.96188,0.31753,0.227659,0.920514,0.0137973,0.999438,0.0305585,-0.001606,-0.003836,0.000091,-116.971,-0.88,88.301,1.26794,30.2057,1.82752,52.1541
0.328258,1.00177,-0.998229,-0.998229,0.14285,0.233195,0.96188,0.317282,0.227382,0.920668,0.00489325,0.999548,0.0296653,0.001771,0.093402,0.010456,-116.851,-0.892,88.302,1.28143,28.9755,2.32106,52.6645
0.360127,1.00064,-0.999358,-0.999358,0.140261,0.233626,0.962157,0.314953,0.227884,0.921343,0.0172332,0.999524,0.0255948,0.000642,0.062819,-0.001333,-116.702,-0.895,88.305,1.23324,28.3976,2.60024,52.6174
0.415111,1.01082,-0.989177,-0.989177,0.137185,0.234476,0.962394,0.311754,0.22905,0.922142,0.0334009,0.999347,0.013814,0.010823,0.127071,0.010121,-116.414,-0.906,88.307,1.22144,27.5685,3.11064,51.8218
0.445182,0.99726,-1.00274,-1.00274,0.134525,0.23484,0.96268,0.309701,0.229512,0.922719,0.0146062,0.999551,0.0261481,-0.00274,0.086945,0.001198,-116.244,-0.906,88.311,1.188,27.1746,3.39017,50.7752
0.503678,1.00345,-0.996552,-0.996552,0.128584,0.236298,0.963135,0.303882,0.230902,0.924305,0.0111252,0.999434,0.0317427,0.003448,0.133945,0.0152,-115.912,-0.931,88.302,1.17713,26.5193,3.87255,47.5925
0.530739,1.00419,-0.995809,-0.995809,0.124595,0.237072,0.963469,0.299782,0.231542,0.925483,0.0192765,0.999302,0.0319908,0.004191,0.134378,0.008788,-115.714,-0.939,88.305,1.1518,26.2535,4.05368,45.709
0.588552,1.00121,-0.998793,-0.998793,0.120563,0.237855,0.963789,0.296249,0.232442,0.926395,0.00775082,0.99955,0.0289636,0.001207,0.161476,0.011112,-115.243,-0.954,88.296,1.1371,25.8271,4.3392,41.473
