test for writing sensor data,,,,,,,,,,,,,,,,,,,,,,
Time, omega_x, omega_y, omega_z,cam1_x, cam1_y, cam1_z, cam2_x, cam2_y, cam2_z,g_x, g_y, g_z,true_omega_x, true_omega_y, true_omega_z,true_attitude_x, true_attitude_y, true_attitude_z,bias_err_proposed, attitude_err_proposed,bias_err_mahony, attitude_err_mahony
0.000000192,0.0137027,0.0622847,-0.00194864,-0.204667,0.117823,0.971714,-0.0211485,0.146837,0.988935,-0.00960955,0.999496,-0.0302599,0.000414,-0.000362,0.001215,-104.617,0.522,91.742,0.0641187,1.16585,0.0641187,1.16586
0.0575316,0.0127709,0.0592817,-0.00174279,-0.204667,0.117823,0.971714,-0.0211485,0.146837,0.988935,-0.0086808,0.999518,-0.0298211,-0.000913,0.0003,-0.000044,-104.617,0.522,91.741,0.052976,0.561895,0.0518964,0.964408
0.090842,0.0117485,0.0565268,-0.00116147,-0.204667,0.117823,0.971714,-0.0214709,0.147191,0.988875,-0.00685372,0.999518,-0.0302791,0.000048,0.002712,0.000764,-104.616,0.522,91.741,0.0475847,0.491379,0.0516931,0.866415
0.14936,0.0108948,0.0540099,-0.000475501,-0.2047,0.118133,0.97167,-0.0211485,0.146837,0.988935,-0.0086916,0.999534,-0.0292447,-0.000448,-0.000754,0.000301,-104.615,0.522,91.74,0.0475519,0.475601,0.0641031,0.725272
0.182777,0.0100753,0.05121,-0.000200677,-0.204667,0.117823,0.971714,-0.0211485,0.146837,0.988935,-0.00900359,0.999501,-0.0302848,0.000615,-0.000137,-0.001773,-104.614,0.521,91.741,0.0430839,0.474544,0.0695164,0.66151
0.23713,0.00941651,0.0485221,0.000574762,-0.204667,0.117823,0.971714,-0.0211485,0.146837,0.988935,-0.00643288,0.999547,-0.0294074,-0.000304,-0.001544,-0.00011,-104.618,0.519,91.741,0.0426485,0.468361,0.0831795,0.575078
0.261938,0.0224732,0.0771668,-0.0296687,-0.2047,0.118133,0.97167,-0.0211485,0.146837,0.988935,-0.00947766,0.999536,-0.0289425,0.00006,0.001111,0.001529,-104.62,0.519,91.74,0.0850577,0.466501,0.121468,0.544144
0.314937,0.0103491,0.0463904,0.243189,-0.204667,0.117823,0.971714,-0.0211485,0.146837,0.988935,-0.00837012,0.999515,-0.0300099,0.000587,0.001303,-0.001006,-104.617,0.518,91.741,0.219638,0.470905,0.149947,0.51306
0.341662,0.0416585,0.0661086,0.0146973,-0.204667,0.117823,0.971714,-0.0211485,0.146837,0.988935,-0.00942139,0.999487,-0.0306195,0.000083,-0.001427,0.000726,-104.615,0.517,91.741,0.0657876,0.468476,0.0948015,0.496563
0.400451,-1,0.0745022,-0.0162124,-0.2047,0.118133,0.97167,-0.0211485,0.146837,0.988935,-0.00724577,0.999508,-0.0305139,0.000669,0.000448,-0.000816,-104.611,0.517,91.744,1.00334,0.491459,1.00924,0.512099
0.461609,-1,1,0.0154967,-0.204667,0.117823,0.971714,-0.0211485,0.146837,0.988935,-0.00928596,0.999516,-0.0296947,-0.000478,0.000338,-0.000487,-104.613,0.515,91.744,1.39922,0.464549,1.35712,0.511338
0.49073,-1,1,0.0108336,-0.204259,0.118159,0.97176,-0.0211485,0.146837,0.988935,-0.0073461,0.999579,-0.028058,-0.00013,-0.000756,0.000005,-104.614,0.515,91.743,1.39876,0.460381,1.35455,0.513732
0.547413,0.0559142,1,1,-0.204667,0.117823,0.971714,-0.0211485,0.146837,0.988935,-0.00755025,0.999592,-0.0275482,0.000781,0.001174,0.001865,-104.613,0.515,91.743,1.37904,0.448906,1.26504,0.500503
0.57906,-1,1,1,-0.204259,0.118159,0.97176,-0.0211485,0.146837,0.988935,-0.0112341,0.999426,-0.0319661,0.000696,0.000002,0.000252,-104.614,0.514,91.744,1.69989,0.463472,1.60105,0.524098
