test for writing sensor data,,,,,,,,,,,,,,,,,,,,
Time, omega_x, omega_y, omega_z,cam1_x, cam1_y, cam1_z, cam2_x, cam2_y, cam2_z,g_x, g_y, g_z,true_omega_x, true_omega_y, true_omega_z,true_attitude_x, true_attitude_y, true_attitude_z,bias_err, attitude_err
0.00000032,0.0199646,0.061885,0.0020483,-0.0278224,0.152697,0.987881,0.150314,0.0938107,0.984178,0.300351,0.953816,0.00500075,0.167447,0.033614,0.122159,72.197,-76.383,135.727,0.192296,43.6738
0.05798,0.013922,0.0567237,0.00298958,-0.0266675,0.152518,0.987941,0.149966,0.0938276,0.984229,0.302716,0.953071,0.00418596,0.166912,0.034289,0.123245,71.115,-76.801,137.392,0.661559,35.2867
0.125682,-1,0.668655,0.0100508,-0.0266675,0.152518,0.987941,0.150314,0.0938107,0.984178,0.296113,0.955153,0.000511598,0.168694,0.035118,0.122907,70.036,-77.181,139.015,2.27372,28.0184
0.157625,1,1,1,-0.0266675,0.152518,0.987941,0.150314,0.0938107,0.984178,0.299276,0.954152,0.00530595,0.167913,0.03364,0.122566,69.399,-77.39,139.956,1.79735,24.2089
0.220307,1,1,-1,-0.0266675,0.152518,0.987941,0.150287,0.0941643,0.984148,0.299364,0.954128,0.00459304,0.167689,0.031778,0.12414,68.336,-77.715,141.491,2.005,18.5778
0.247753,-1,-1,-1,-0.0266675,0.152518,0.987941,0.150314,0.0938107,0.984178,0.299254,0.954164,0.00428379,0.16859,0.032599,0.122761,67.68,-77.904,142.428,2.57722,20.0696
0.302331,0.0389695,-1,1,-0.0266675,0.152518,0.987941,0.14994,0.0941802,0.984199,0.29867,0.954315,0.00888352,0.168296,0.0326,0.122044,66.62,-78.19,143.92,1.63472,17.8832
0.338017,-0.0722786,0.0857681,-0.0296521,-0.0266675,0.152518,0.987941,0.150287,0.0941643,0.984148,0.296973,0.954871,0.00531222,0.166069,0.031683,0.123098,65.834,-78.386,145.006,1.66698,17.0655
0.393497,0.0116571,0.0573898,-1,-0.0266675,0.152518,0.987941,0.150314,0.0938107,0.984178,0.298584,0.954366,0.00582055,0.167064,0.034484,0.12223,64.547,-78.69,146.77,1.87873,21.1369
0.418767,-1,0.160777,0.0161795,-0.0266675,0.152518,0.987941,0.150314,0.0938107,0.984178,0.299363,0.954135,0.00286373,0.169084,0.036039,0.12384,63.932,-78.826,147.599,2.46021,20.4987
0.481255,1,0.0856349,-0.0128649,-0.0266675,0.152518,0.987941,0.149966,0.0938276,0.984229,0.299479,0.954078,0.00695511,0.168193,0.035704,0.122628,62.327,-79.156,149.743,0.828874,21.3448
0.510627,-1,1,0.0829283,-0.0266675,0.152518,0.987941,0.150287,0.0941643,0.984148,0.297929,0.954575,0.00499778,0.168795,0.034345,0.123816,61.45,-79.323,150.898,2.71609,21.8288
