test for writing sensor data,,,,,,,,,,,,,,,,,,,,
Time, omega_x, omega_y, omega_z,cam1_x, cam1_y, cam1_z, cam2_x, cam2_y, cam2_z,g_x, g_y, g_z,true_omega_x, true_omega_y, true_omega_z,true_attitude_x, true_attitude_y, true_attitude_z,bias_err, attitude_err
0.000000224,0.013303,0.0586875,0.00711109,-0.00122127,0.150731,0.988574,0.162911,0.0615776,0.984717,0.376644,0.913315,0.154902,0.031946,0.038542,0.045491,-37.891,-47.329,-63.225,0.047186,38.9644
0.0600447,0.0114919,0.0564679,0.00644294,-0.00222807,0.151027,0.988527,0.162911,0.0615776,0.984717,0.377013,0.912918,0.15634,0.032466,0.03942,0.047624,-37.931,-47.129,-63.066,0.543649,31.2986
0.123056,0.0124391,0.0594531,0.00349928,-0.00222807,0.151027,0.988527,0.162911,0.0615776,0.984717,0.378836,0.912209,0.156069,0.03082,0.038521,0.046168,-37.973,-46.905,-62.89,0.944453,25.5366
0.179423,0.0123253,0.0572029,0.00374301,-0.00222807,0.151027,0.988527,0.162911,0.0615776,0.984717,0.377813,0.912451,0.157132,0.029076,0.038111,0.046985,-38.003,-46.719,-62.744,1.18724,22.0472
0.206136,0.012216,0.0549148,0.003977,-0.00222807,0.151027,0.988527,0.162911,0.0615776,0.984717,0.377782,0.913297,0.152216,0.030654,0.040011,0.047652,-38.021,-46.614,-62.662,1.26815,20.8427
0.260285,0.0119831,0.052974,0.00394582,-0.00222807,0.151027,0.988527,0.163229,0.0612111,0.984688,0.376667,0.913564,0.15337,0.03114,0.038178,0.047258,-38.051,-46.43,-62.519,1.3754,19.1667
0.286334,0.0115038,0.0511109,0.00391589,-0.00222807,0.151027,0.988527,0.163229,0.0612111,0.984688,0.373927,0.913704,0.159135,0.032705,0.037119,0.042479,-38.066,-46.342,-62.449,1.40336,18.6751
0.348789,0.0109158,0.0493222,0.00401506,-0.00222807,0.151027,0.988527,0.163229,0.0612111,0.984688,0.377064,0.913419,0.153259,0.031348,0.03918,0.04746,-38.098,-46.12,-62.278,1.40458,18.0062
0.381534,0.0104791,0.0474772,0.00372655,-0.00222807,0.151027,0.988527,0.162911,0.0615776,0.984717,0.379296,0.912564,0.152845,0.032234,0.038887,0.047222,-38.124,-45.955,-62.15,1.3796,17.8714
0.437479,0.01006,0.0455782,0.00332169,-0.00222807,0.151027,0.988527,0.163229,0.0612111,0.984688,0.376206,0.913132,0.157034,0.031947,0.037224,0.043497,-38.145,-45.803,-62.033,1.3042,17.9521
