test for writing sensor data
Time, omega_x, omega_y, omega_z,cam1_x, cam1_y, cam1_z, cam2_x, cam2_y, cam2_z,g_x, g_y, g_z,true_omega_x, true_omega_y, true_omega_z,true_attitude_x, true_attitude_y, true_attitude_z,bias_err, attitude_err
3.2e-07,-0.0260016,0.00789664,-0.0166732,-1.29965,0.520717,4.97854,-0.421747,0.875411,5.29093,-0.127,9.807,-0.431,-0.037673,-0.040614,0.033409,-95.795,-3.228,23.434,1.55789,1.80944
0.0581212,-0.0239399,0.00758077,-0.121748,-1.29965,0.520717,4.97854,-0.410576,0.848104,5.12672,-0.093,9.778,-0.431,-0.02561,-0.03809,0.031731,-95.74,-3.385,23.337,1.99759,1.66937
0.093119,-0.0223435,-0.038713,-3.93699,-1.29965,0.520717,4.97854,-0.408465,0.847321,5.12268,-0.121,9.76,-0.422,-0.023737,-0.035571,0.030062,-95.704,-3.483,23.273,4.81532,1.84747
0.146702,0.0760973,0.427418,0.0570422,-1.29965,0.520717,4.97854,-0.410576,0.848104,5.12672,-0.147,9.83,-0.531,-0.014208,-0.032607,0.030669,-95.647,-3.64,23.178,0.525528,2.08619
0.172106,-0.341079,0.106022,-0.0398023,-1.29965,0.520717,4.97854,-0.410576,0.848104,5.12672,-0.114,9.785,-0.418,-0.043636,-0.040287,0.035084,-95.621,-3.712,23.128,1.16485,2.19508
0.226237,-0.0202151,0.00545232,0.37897,-1.29965,0.520717,4.97854,-0.410576,0.848104,5.12672,-0.077,9.748,-0.374,-0.03224,-0.03854,0.034609,-95.563,-3.87,23.031,1.45477,2.42063
0.252316,-10.8727,-15.3742,0.0533174,-1.29965,0.520717,4.97854,-0.410576,0.848104,5.12672,-0.192,9.861,-0.518,-0.021954,-0.034086,0.03211,-95.537,-3.94,22.989,20.4677,2.71204
0.311397,16.3699,-9.33738,9.27589,-1.29965,0.520717,4.97854,-0.410576,0.848104,5.12672,-0.077,9.764,-0.382,-0.032906,-0.039452,0.034748,-95.473,-4.113,22.877,24.3882,3.0825
0.338825,9.42372,8.64324,16.187,-1.29965,0.520717,4.97854,-0.410576,0.848104,5.12672,-0.181,9.864,-0.502,-0.034175,-0.037732,0.033477,-95.444,-4.191,22.83,25.3217,2.78269
0.403561,-0.00797648,-0.0733003,-9.38583,-1.29965,0.520717,4.97854,-0.408465,0.847321,5.12268,-0.19,9.811,-0.537,-0.013703,-0.031456,0.028337,-95.378,-4.375,22.715,9.61807,2.61782
0.433652,0.115474,8.09888,8.0499,-1.29965,0.520717,4.97854,-0.410576,0.848104,5.12672,-0.186,9.839,-0.528,-0.017626,-0.033039,0.028037,-95.341,-4.475,22.651,12.9654,2.74006
0.492492,-0.415575,0.0895261,-0.121216,-1.29965,0.520717,4.97854,-0.410576,0.848104,5.12672,-0.226,9.851,-0.532,-0.023521,-0.034705,0.030625,-95.285,-4.624,22.556,1.90736,3.00582
0.552284,0.00160154,-0.0397772,8.05044,-1.29965,0.520717,4.97854,-0.408465,0.847321,5.12268,-0.039,9.774,-0.327,-0.03252,-0.040074,0.033961,-95.22,-4.797,22.44,7.69062,3.09893
0.579618,-5.01516,0.501913,0.0309686,-1.29965,0.520717,4.97854,-0.410576,0.848104,5.12672,-0.227,9.86,-0.489,-0.035952,-0.037684,0.031944,-95.191,-4.874,22.393,9.68738,3.29684
0.633991,-8.99536,0.0756912,-0.0882246,-1.29965,0.520717,4.97854,-0.410576,0.848104,5.12672,-0.107,9.808,-0.404,-0.045171,-0.041603,0.036287,-95.131,-5.031,22.29,14.3362,3.54554
0.662783,-7.46766,2.37708,0.451338,-1.29965,0.520717,4.97854,-0.408465,0.847321,5.12268,-0.2,9.821,-0.525,-0.018069,-0.033149,0.029574,-95.102,-5.108,22.245,14.994,3.56243
0.717119,-1.47341,8.80925,0.0171337,-1.29965,0.520717,4.97854,-0.408465,0.847321,5.12268,-0.169,9.821,-0.495,-0.035487,-0.038498,0.032355,-95.042,-5.265,22.142,15.103,3.63599
0.747913,0.0659872,-0.0355203,0.00649147,-1.29965,0.520717,4.97854,-0.408465,0.847321,5.12268,-0.15,9.813,-0.489,-0.014787,-0.032771,0.030067,-95.01,-5.349,22.089,6.13618,3.85326
0.801851,0.0643693,-0.032567,0.00878595,-1.29965,0.520717,4.97854,-0.408465,0.847321,5.12268,-0.192,9.822,-0.492,-0.030493,-0.037646,0.031339,-94.95,-5.505,21.986,4.24377,4.07811
0.827548,0.0617946,-0.0297319,0.0109887,-1.29965,0.520717,4.97854,-0.410576,0.848104,5.12672,-0.093,9.759,-0.38,-0.028323,-0.038072,0.033162,-94.922,-5.577,21.939,4.68763,4.10273
0.888819,0.0593228,-0.0264993,0.0120816,-1.29965,0.520717,4.97854,-0.424752,0.881611,5.30593,-0.122,9.824,-0.479,-0.038211,-0.038808,0.032373,-94.854,-5.754,21.824,4.65646,4.26478
0.922487,0.0579715,-0.0244177,0.0115983,-1.29965,0.520717,4.97854,-0.410576,0.848104,5.12672,-0.138,9.79,-0.432,-0.036973,-0.039817,0.033461,-94.815,-5.853,21.76,3.27655,4.40194
0.9817,0.0561635,-0.0229301,0.0101127,-1.29965,0.520717,4.97854,-0.425416,0.875459,5.2911,-0.098,9.785,-0.421,-0.023187,-0.036664,0.031275,-94.753,-6.015,21.655,2.62432,4.50925
1.01396,0.0549386,-0.0220129,0.00868657,-1.29965,0.520717,4.97854,-0.410576,0.848104,5.12672,-0.106,9.783,-0.423,-0.028776,-0.0376,0.03177,-94.716,-6.107,21.594,3.59947,4.51145
1.07336,0.0537627,-0.0216432,0.0062958,-1.29965,0.520717,4.97854,-0.410576,0.848104,5.12672,-0.164,9.795,-0.437,-0.02709,-0.037215,0.032566,-94.651,-6.27,21.49,3.59237,4.56053
1.10025,0.052123,-0.0212883,0.00502231,-1.29965,0.520717,4.97854,-0.410576,0.848104,5.12672,-0.158,9.8,-0.456,-0.024269,-0.034026,0.031496,-94.614,-6.362,21.43,2.87638,4.59983
1.16269,0.0505489,-0.0214585,0.00533224,-1.29965,0.520717,4.97854,-0.410576,0.848104,5.12672,-0.113,9.792,-0.42,-0.033175,-0.039324,0.032511,-94.55,-6.524,21.322,1.96161,4.64479
1.18969,0.0480162,-0.0211109,0.00511895,-1.29965,0.520717,4.97854,-0.410576,0.848104,5.12672,-0.127,9.771,-0.465,-0.023263,-0.035501,0.030687,-94.519,-6.602,21.271,2.17415,4.64693
1.24579,0.0450739,-0.0197557,0.00542503,-1.29965,0.520717,4.97854,-0.408465,0.847321,5.12268,-0.125,9.801,-0.471,-0.029145,-0.037486,0.03185,-94.456,-6.757,21.168,2.00697,4.6532
1.27407,0.0407168,-0.0199871,0.00674051,-1.29965,0.520717,4.97854,-0.410576,0.848104,5.12672,-0.117,9.815,-0.463,-0.022404,-0.035495,0.031083,-94.422,-6.842,21.113,1.6798,4.64887
1.32883,0.0360231,-0.0191876,0.00749254,-1.29965,0.520717,4.97854,-0.410576,0.848104,5.12672,-0.185,9.798,-0.497,-0.026382,-0.036337,0.031994,-94.36,-6.997,21.01,1.81131,4.61718
