test for writing sensor data
Time, omega_x, omega_y, omega_z,cam1_x, cam1_y, cam1_z, cam2_x, cam2_y, cam2_z,g_x, g_y, g_z,true_omega_x, true_omega_y, true_omega_z,true_attitude_x, true_attitude_y, true_attitude_z,bias_err_proposed, attitude_err_proposed,bias_err_mahony, attitude_err_mahony
1.92e-07,0.0183658,0.0582878,0.00231476,-0.079931,0.256376,0.963266,0.0928225,0.189073,0.977566,0.27637,0.956988,0.0882793,0.067499,-0.043221,0.041116,-172.216,26.514,-95.876,3.73553e+44,42.6347,3.73553e+44,42.6347
0.0581906,0.0161009,0.060153,1,-0.079931,0.256376,0.963266,0.0928225,0.189073,0.977566,0.277123,0.956685,0.0892033,0.06912,-0.04267,0.039849,-172.077,26.672,-95.586,3.73553e+44,34.2927,3.73553e+44,44.1718
0.0870823,-1,0.327815,0.0112413,-0.079931,0.256376,0.963266,0.0924493,0.189399,0.977538,0.27511,0.957171,0.0902068,0.067715,-0.045465,0.041976,-172.009,26.749,-95.446,3.73553e+44,30.7047,3.73553e+44,44.083
0.145062,1,0.0826691,-0.0112748,-0.079931,0.256376,0.963266,0.0928225,0.189073,0.977566,0.278507,0.956678,0.0848608,0.068151,-0.043661,0.040727,-171.869,26.908,-95.155,3.73553e+44,24.3285,3.73553e+44,43.7359
0.171479,-0.214656,1,1,-0.079931,0.256376,0.963266,0.0928225,0.189073,0.977566,0.275819,0.957626,0.0829198,0.068914,-0.043561,0.041894,-171.799,26.983,-95.014,3.73553e+44,21.8009,3.73553e+44,44.356
0.225972,-1,-1,0.243064,-0.0789562,0.255802,0.963499,0.0927925,0.189413,0.977503,0.277715,0.956893,0.0850253,0.068154,-0.044647,0.042372,-171.662,27.133,-94.733,3.73553e+44,21.4822,3.73553e+44,44.346
0.251195,0.0574026,-1,1,-0.079931,0.256376,0.963266,0.0930948,0.189728,0.977413,0.273844,0.957739,0.0880139,0.068861,-0.043943,0.040508,-171.598,27.202,-94.605,3.73553e+44,20.5854,3.73553e+44,44.9341
0.318678,1,1,1,-0.079931,0.256376,0.963266,0.0928225,0.189073,0.977566,0.274295,0.957837,0.0855065,0.069163,-0.042311,0.043328,-171.429,27.385,-94.259,3.73553e+44,16.3314,3.73553e+44,43.9876
0.34499,0.0165006,0.0585542,-1,-0.079931,0.256376,0.963266,0.0928225,0.189073,0.977566,0.27584,0.957214,0.087484,0.068752,-0.045862,0.04231,-171.364,27.453,-94.129,3.73553e+44,18.6094,3.73553e+44,42.2476
0.399843,0.0426139,0.300102,0.01284,-0.079931,0.256376,0.963266,0.0928225,0.189073,0.977566,0.275271,0.957165,0.0897821,0.069232,-0.041423,0.041622,-171.223,27.601,-93.845,3.73553e+44,20.8358,3.73553e+44,39.9173
0.426214,-1,0.0853337,-0.0143391,-0.079931,0.256376,0.963266,0.0924493,0.189399,0.977538,0.274826,0.957908,0.0829588,0.068508,-0.045071,0.041706,-171.152,27.677,-93.702,3.73553e+44,21.2489,3.73553e+44,39.6703
0.489529,-1,1,0.224811,-0.079931,0.256376,0.963266,0.0928225,0.189073,0.977566,0.274285,0.957396,0.0903396,0.067836,-0.044136,0.041087,-170.991,27.844,-93.378,3.73553e+44,23.1555,3.73553e+44,38.6425
0.521345,-1,1,0.0137726,-0.079931,0.256376,0.963266,0.0928225,0.189073,0.977566,0.276019,0.956826,0.0910874,0.06995,-0.048352,0.042035,-170.907,27.931,-93.208,3.73553e+44,24.6414,3.73553e+44,39.2512
0.575514,-1,-1,1,-0.0789562,0.255802,0.963499,0.0928225,0.189073,0.977566,0.274577,0.957437,0.0890021,0.068951,-0.044648,0.042628,-170.762,28.077,-92.921,3.73553e+44,17.4663,3.73553e+44,39.2892
0.598257,1,1,1,-0.079931,0.256376,0.963266,0.0927925,0.189413,0.977503,0.276653,0.956945,0.0878587,0.068618,-0.045486,0.039941,-170.698,28.143,-92.791,3.73553e+44,18.5165,3.73553e+44,39.3133
0.655803,0.0130366,0.0430994,-1,-0.079931,0.256376,0.963266,0.0927925,0.189413,0.977503,0.277581,0.956361,0.0912328,0.067141,-0.042598,0.04047,-170.553,28.289,-92.502,3.73553e+44,25.1866,3.73553e+44,46.559
0.681613,0.0439462,-1,1,-0.079931,0.256376,0.963266,0.0924493,0.189399,0.977538,0.277099,0.95673,0.088794,0.070605,-0.04531,0.041939,-170.487,28.354,-92.37,3.73553e+44,22.3748,3.73553e+44,46.559
