test for writing sensor data,,,,,,,,,,,,,,,,,,,,,,
Time, omega_x, omega_y, omega_z,cam1_x, cam1_y, cam1_z, cam2_x, cam2_y, cam2_z,g_x, g_y, g_z,true_omega_x, true_omega_y, true_omega_z,true_attitude_x, true_attitude_y, true_attitude_z,bias_err_proposed, attitude_err_proposed,bias_err_mahony, attitude_err_mahony
0.000000256,0.003786,0.176394,-0.19685,-0.0851102,0.121033,0.988993,0.106009,0.138618,0.984656,0.0262984,0.999542,-0.014984,0.003786,0.076394,0.00315,0.006,-1.656,91.154,0.223606,1.61848,0.223605,1.61848
0.0610707,0.0046,0.201803,-0.199694,-0.0871691,0.120285,0.988905,0.103272,0.138667,0.98494,0.0217152,0.999512,-0.0224289,0.0046,0.101803,0.000306,0.282,-1.666,91.156,0.392643,1.33699,0.698953,1.42032
0.130658,0.003655,0.18402,-0.20255,-0.0909898,0.120603,0.988522,0.100186,0.139395,0.985156,0.0329964,0.999189,-0.0230873,0.003655,0.08402,-0.00255,0.651,-1.685,91.165,0.75294,0.977436,1.44638,1.14071
0.191097,0.005219,0.215488,-0.195782,-0.0926911,0.120509,0.988375,0.0981053,0.139096,0.985407,0.0310002,0.999372,-0.0171882,0.005219,0.115488,0.004218,0.977,-1.696,91.17,0.982093,0.678273,1.97905,0.873917
0.218317,0.004218,0.210128,-0.197587,-0.125887,0.123013,0.984388,0.0653398,0.141976,0.987711,0.0326222,0.999221,-0.0221913,0.004218,0.110128,0.002413,1.137,-1.706,91.171,1.05586,0.514273,2.16571,0.707823
0.275002,0.007398,0.236446,-0.192208,-0.133621,0.122729,0.983404,0.0577394,0.141712,0.988223,0.0296268,0.999444,-0.0153242,0.007398,0.136446,0.007792,1.532,-1.722,91.178,1.16373,0.298519,2.45301,0.455546
0.337886,0.009221,0.226373,-0.196316,-0.141471,0.123313,0.982232,0.0507345,0.142456,0.9885,0.0379236,0.998997,-0.0238173,0.009221,0.126373,0.003684,1.987,-1.748,91.184,1.22209,0.122029,2.61424,0.208699
0.371503,0.004018,0.212027,-0.196016,-0.149347,0.123569,0.981033,0.0420783,0.143217,0.988796,0.0351256,0.999243,-0.0167459,0.004018,0.112027,0.003984,2.193,-1.76,91.187,1.23082,0.0622646,2.63648,0.122816
0.429798,0.004927,0.235927,-0.192226,-0.154318,0.124451,0.980152,0.0364791,0.143615,0.988961,0.0235563,0.999563,-0.0178457,0.004927,0.135927,0.007774,2.571,-1.776,91.189,1.21584,0.10311,2.58284,0.20064
0.505061,0.005283,0.251482,-0.204905,-0.161075,0.124129,0.979105,0.0316191,0.143991,0.989074,0.0237499,0.999536,-0.0190611,0.005283,0.151482,-0.004905,3.129,-1.792,91.2,1.15444,0.182389,2.37579,0.375799
0.575534,0.009995,0.31571,-0.200727,-0.169876,0.124538,0.977565,0.0207486,0.144741,0.989252,0.040278,0.998997,-0.0195782,0.009995,0.21571,-0.000727,3.904,-1.835,91.217,1.06723,0.22934,2.08071,0.497711
0.632118,-0.008082,0.305082,-0.263831,-0.174192,0.125044,0.97674,0.0169331,0.145109,0.989271,0.0311497,0.999335,-0.0189341,-0.008082,0.205082,-0.063831,4.48,-1.747,91.205,0.985852,0.247214,1.80255,0.558984
0.661556,0.007639,0.260823,-0.216521,-0.184134,0.12574,0.974825,0.00677512,0.145487,0.989337,0.0316961,0.999294,-0.0201795,0.007639,0.160823,-0.016521,4.77,-1.692,91.203,0.939635,0.263637,1.64709,0.591963
0.720416,0.004583,0.204756,-0.1995,-0.195985,0.126197,0.972453,-0.00541663,0.146881,0.989139,0.0289556,0.999274,-0.0247754,0.004583,0.104756,0.0005,5.172,-1.702,91.207,0.840446,0.279201,1.32294,0.626855
0.778776,0.007277,0.220387,-0.19542,-0.212897,0.127149,0.968766,-0.0218132,0.147919,0.988759,0.0273893,0.999455,-0.0184292,0.007277,0.120387,0.00458,5.531,-1.717,91.214,0.737089,0.28552,0.999429,0.637404
0.838018,0.003924,0.195006,-0.19697,-0.225265,0.127625,0.965903,-0.0358233,0.148556,0.988255,0.030294,0.999189,-0.0265072,0.003924,0.095006,0.00303,5.867,-1.737,91.221,0.632326,0.284973,0.691342,0.622698
0.873004,-0.002267,0.152628,-0.196649,-0.230764,0.127488,0.964621,-0.0410647,0.148511,0.988058,0.0405918,0.998986,-0.01948,-0.002267,0.052628,0.003351,5.998,-1.748,91.219,0.573198,0.278251,0.531897,0.603349
0.929932,-0.002007,0.116124,-0.198771,-0.239589,0.127831,0.962422,-0.0498067,0.149521,0.987503,0.027318,0.999451,-0.0187556,-0.002007,0.016124,0.001229,6.047,-1.749,91.209,0.480475,0.264868,0.350919,0.557804
0.991444,-0.00536,0.068997,-0.204663,-0.244777,0.127972,0.961097,-0.0543248,0.149474,0.987272,0.0272817,0.99941,-0.0208445,-0.00536,-0.031003,-0.004663,5.934,-1.757,91.2,0.389483,0.247944,0.35096,0.498654
