test for writing sensor data
Time, omega_x, omega_y, omega_z,cam1_x, cam1_y, cam1_z, cam2_x, cam2_y, cam2_z,g_x, g_y, g_z,true_omega_x, true_omega_y, true_omega_z,true_attitude_x, true_attitude_y, true_attitude_z,bias_err_proposed, attitude_err_proposed,bias_err_mahony, attitude_err_mahony
1.6e-07,-0.002616,0.097384,-0.202616,-0.347141,0.11589,0.930625,-0.163013,0.148027,0.975456,-0.0194946,0.999529,-0.0236792,-0.002616,0.001223,-0.00339,1.64,1.213,91.272,0.221219,1.3097,0.221219,1.3097
0.0575361,0.001843,0.101843,-0.198157,-0.346785,0.115373,0.930822,-0.163013,0.148027,0.975456,-0.0271961,0.999431,-0.0199642,0.001843,-0.003316,0.000753,1.638,1.212,91.273,0.35871,1.07322,0.605495,1.1352
0.116436,0.001978,0.101978,-0.198022,-0.347141,0.11589,0.930625,-0.163013,0.148027,0.975456,-0.019929,0.999412,-0.0279005,0.001978,-0.001349,0.000332,1.639,1.211,91.274,0.630551,0.819748,1.14192,0.92446
0.135198,-0.000343,0.099657,-0.200343,-0.347141,0.11589,0.930625,-0.163013,0.148027,0.975456,-0.0185026,0.999445,-0.0277027,-0.000343,-5.9e-05,0.000734,1.641,1.211,91.274,0.708565,0.741835,1.29607,0.854427
0.191923,-0.001269,0.098731,-0.201269,-0.347141,0.11589,0.930625,-0.163013,0.148027,0.975456,-0.01857,0.999617,-0.0205086,-0.001269,0.00248,-0.000639,1.643,1.211,91.273,0.89474,0.523019,1.68237,0.640828
0.211543,-0.000607,0.099393,-0.200607,-0.346785,0.115373,0.930822,-0.163013,0.148027,0.975456,-0.0217065,0.999621,-0.0169168,-0.000607,-0.000458,-0.0002,1.642,1.211,91.274,0.94112,0.454855,1.78533,0.568372
0.267082,0.00087,0.10087,-0.19913,-0.347141,0.11589,0.930625,-0.163013,0.148027,0.975456,-0.0257702,0.999537,-0.0161955,0.00087,-0.000921,-0.001275,1.643,1.212,91.275,1.04288,0.280452,2.00769,0.368191
0.291731,-0.0016,0.0984,-0.2016,-0.347141,0.11589,0.930625,-0.163013,0.148027,0.975456,-0.016679,0.999612,-0.0223068,-0.0016,0.000791,0.00278,1.642,1.211,91.274,1.07787,0.213308,2.07606,0.284773
0.34823,-0.000956,0.099044,-0.200956,-0.346755,0.116125,0.930739,-0.163013,0.148027,0.975456,-0.0176578,0.999554,-0.0240881,-0.000956,-0.000777,-0.001259,1.641,1.213,91.272,1.11339,0.0983105,2.14309,0.13926
0.375368,0.000859,0.100859,-0.199141,-0.347141,0.11589,0.930625,-0.163013,0.148027,0.975456,-0.0217518,0.99946,-0.0246112,0.000859,-0.001091,-0.000171,1.642,1.212,91.272,1.11614,0.0698216,2.1398,0.119254
