test for writing sensor data,,,,,,,,,,,,,,,,,,,,,,
Time, omega_x, omega_y, omega_z,cam1_x, cam1_y, cam1_z, cam2_x, cam2_y, cam2_z,g_x, g_y, g_z,true_omega_x, true_omega_y, true_omega_z,true_attitude_x, true_attitude_y, true_attitude_z,bias_err_proposed, attitude_err_proposed,bias_err_mahony, attitude_err_mahony
0.00000016,-0.00142611,0.101165,0.00485532,-0.311085,0.113889,0.943533,-0.125848,0.145801,0.981277,-0.0291441,0.999386,-0.0194294,0.003274,-0.130617,-0.014992,-1.466,1.416,91.135,0.232677,1.35751,0.232676,1.35751
0.0610212,0.00349121,0.120397,0.00952138,-0.309353,0.113955,0.944095,-0.123089,0.145866,0.981617,-0.0176539,0.999744,-0.0141844,0.003361,-0.11371,-0.00102,-1.788,1.426,91.135,0.244044,1.10209,0.504853,1.17036
0.118803,0.00296785,0.152544,0.0073499,-0.30745,0.114532,0.944646,-0.120679,0.14625,0.981859,-0.0267999,0.999441,-0.0199725,0.001234,-0.127718,-0.004618,-2.207,1.44,91.13,0.493026,0.854096,1.02041,0.968776
0.188512,0.00898844,0.178546,-0.00982716,-0.305108,0.114242,0.945441,-0.118641,0.145601,0.982204,-0.0256244,0.999556,-0.0152113,0.00169,-0.168707,-0.001686,-2.764,1.457,91.122,0.689937,0.572769,1.48928,0.706961
0.252354,0.00914051,0.168207,-0.000480935,-0.262148,0.114011,0.958269,-0.0734602,0.145535,0.986622,-0.0205447,0.999636,-0.0174783,0.004176,-0.196065,0.019088,-3.378,1.45,91.117,0.836725,0.397321,1.8266,0.520204
0.31008,0.00800747,0.171071,0.0136075,-0.252382,0.114674,0.960808,-0.0640987,0.145955,0.987212,-0.02534,0.999498,-0.019005,0.003417,-0.196076,-0.001894,-4.023,1.442,91.113,0.92207,0.23715,2.01467,0.330292
0.37846,0.00512913,0.167042,0.00129624,-0.242907,0.11469,0.963246,-0.053653,0.146034,0.987824,-0.032991,0.999228,-0.0213471,0.006098,-0.205488,-0.008531,-4.832,1.471,91.106,0.964511,0.109375,2.09543,0.179479
0.441946,0.0145886,0.193955,-0.00589825,-0.229683,0.114295,0.966531,-0.0400576,0.145408,0.98856,-0.0194832,0.999763,-0.00969059,0.003941,-0.212178,-0.00234,-5.581,1.496,91.098,0.927838,0.0843144,2.02092,0.185473
0.504871,0.00699437,0.180232,0.00609256,-0.215156,0.114798,0.969809,-0.0246718,0.145133,0.989105,-0.0330613,0.999187,-0.0230613,0.007038,-0.221597,0.012705,-6.288,1.473,91.098,0.902891,0.137038,1.90051,0.289043
0.575373,0.0149882,0.164777,0.0160849,-0.207294,0.114999,0.971496,-0.0166398,0.145487,0.98922,-0.0138825,0.99964,-0.0229673,0.001393,-0.23731,-0.004583,-7.21,1.487,91.087,0.828296,0.184946,1.66889,0.392332
0.647145,0.00792699,0.133867,0.010356,-0.18403,0.115585,0.976101,0.00715057,0.145134,0.989386,-0.0190677,0.999518,-0.024501,0.003158,-0.197294,-0.015279,-8.065,1.527,91.082,0.809608,0.207524,1.46413,0.452821
0.706029,0.00446298,0.157849,0.0715091,-0.175047,0.115805,0.977726,0.0155366,0.145101,0.989295,-0.0333774,0.999275,-0.0183269,0.00656,-0.16599,-0.005475,-8.68,1.598,91.074,0.743329,0.220254,1.21629,0.484939
0.77771,0.0049959,0.0400726,0.0200818,-0.157356,0.115366,0.98078,0.0330163,0.145369,0.988826,-0.0237825,0.998764,-0.0436528,0.000243,-0.166711,-0.022171,-9.302,1.65,91.071,0.744326,0.239115,1.03327,0.506391
0.839816,0.00606175,0.0723146,0.0485933,-0.139887,0.115369,0.983424,0.051799,0.144503,0.988148,-0.0213399,0.999605,-0.0182767,0.003125,-0.081344,-0.014201,-9.72,1.734,91.072,0.712058,0.22064,0.830122,0.486195
0.913238,0.00219805,-0.0214802,0.0292748,-0.115537,0.115396,0.986577,0.074994,0.144564,0.986649,-0.0535639,0.998163,-0.0283095,0.001011,-0.096137,-0.04111,-10.217,1.915,91.053,0.694986,0.217672,0.646086,0.452485
0.972308,0.00645879,0.000354925,0.0188949,-0.109718,0.115545,0.987224,0.080176,0.144479,0.986254,-0.0300016,0.999268,-0.0237555,-0.001115,-0.018965,-0.027105,-10.304,2.04,91.052,0.672933,0.215098,0.530269,0.434626
1.03618,0.000863081,-0.0424123,0.0359485,-0.0979283,0.11521,0.988502,0.0921993,0.14498,0.985129,-0.0364371,0.999113,-0.0211274,0.003054,-0.040183,-0.018415,-10.433,2.177,91.036,0.61818,0.205667,0.395375,0.394921
