test for writing sensor data,,,,,,,,,,,,,,,,,,,,,,
Time, omega_x, omega_y, omega_z,cam1_x, cam1_y, cam1_z, cam2_x, cam2_y, cam2_z,g_x, g_y, g_z,true_omega_x, true_omega_y, true_omega_z,true_attitude_x, true_attitude_y, true_attitude_z,bias_err_proposed, attitude_err_proposed,bias_err_mahony, attitude_err_mahony
0.00000016,0.00190467,0.00430588,0.00299008,-0.346785,0.115373,0.930822,-0.163013,0.148027,0.975456,-0.0195209,0.999554,-0.0225871,0.000214,-0.000213,-0.001044,1.65,1.212,91.279,0.00628817,1.30952,0.00628754,1.30952
0.0620442,0.00118897,-0.00213355,-0.00429203,-0.347238,0.116134,0.930558,-0.163013,0.148027,0.975456,-0.0177817,0.999456,-0.0277967,0.000249,0.001685,0.000302,1.653,1.21,91.279,0.413332,1.04426,0.68834,1.11021
0.119421,0.00101351,0.00191675,0.00291426,-0.347141,0.11589,0.930625,-0.163013,0.148027,0.975456,-0.0174278,0.999535,-0.025014,-0.000847,-0.000484,-0.001257,1.653,1.208,91.28,0.694939,0.796631,1.2172,0.901609
0.179886,-0.00158507,-0.00199698,0.00203028,-0.347141,0.11589,0.930625,-0.163013,0.148027,0.975456,-0.0194407,0.99956,-0.022408,-0.001773,0.000905,0.000857,1.655,1.208,91.278,0.91889,0.552447,1.66472,0.670086
0.240014,0.00154798,0.00588492,0.00514661,-0.347141,0.11589,0.930625,-0.163013,0.148027,0.975456,-0.0161403,0.999574,-0.0243126,-0.00287,-0.000422,-0.001184,1.654,1.209,91.277,1.0517,0.3416,1.95742,0.44366
0.300139,0.000846552,-0.00112928,0.0016153,-0.347141,0.11589,0.930625,-0.162697,0.148369,0.975457,-0.0274458,0.999376,-0.0222424,0.001079,0.000325,0.000731,1.655,1.21,91.276,1.14108,0.175109,2.13575,0.248502
0.364481,0.00217886,-0.000196658,0.00281438,-0.347141,0.11589,0.930625,-0.163013,0.148027,0.975456,-0.0215358,0.999527,-0.0219441,0.000355,-0.00188,-0.001491,1.659,1.21,91.275,1.16654,0.0558795,2.17579,0.13176
0.421701,0.00221961,-0.000828302,-0.00292588,-0.347141,0.11589,0.930625,-0.163013,0.148027,0.975456,-0.0258174,0.99953,-0.0165313,0.001554,-0.000582,0.001852,1.661,1.209,91.277,1.15555,0.0863661,2.11715,0.199253
0.48026,0.00149132,-0.00539964,-0.00472738,-0.347141,0.11589,0.930625,-0.163013,0.148027,0.975456,-0.0152145,0.999564,-0.0253235,-0.000062,0.001457,-0.001088,1.662,1.21,91.277,1.1173,0.155886,1.98064,0.309629
0.546666,-0.00503701,0.00152838,-0.00406122,-0.346785,0.115373,0.930822,-0.163013,0.148027,0.975456,-0.0200329,0.999395,-0.028414,-0.000968,0.000678,-0.000212,1.663,1.211,91.277,1.03649,0.208907,1.74322,0.407765
