test for writing sensor data,,,,,,,,,,,,,,,,,,,,,,
Time, omega_x, omega_y, omega_z,cam1_x, cam1_y, cam1_z, cam2_x, cam2_y, cam2_z,g_x, g_y, g_z,true_omega_x, true_omega_y, true_omega_z,true_attitude_x, true_attitude_y, true_attitude_z,bias_err_proposed, attitude_err_proposed,bias_err_mahony, attitude_err_mahony
0.000000256,0.0123704,-0.101989,-0.0112748,-0.215064,0.263266,0.940446,-0.0335721,0.2854,0.95782,-0.0627337,0.997619,0.0286637,-0.008319,0.088361,0.002794,-113.232,3.26,88.497,0.191987,48.355,0.191987,48.355
0.0571425,0.011364,-0.0975261,-0.0104401,-0.215064,0.263266,0.940446,-0.0335721,0.2854,0.95782,-0.0578482,0.99801,0.0250982,-0.005874,0.161948,0.010644,-112.858,3.234,88.484,0.374304,39.6534,0.424516,48.6983
0.0898362,0.010142,-0.0933693,-0.00976672,-0.215064,0.263266,0.940446,-0.0335721,0.2854,0.95782,-0.0514099,0.998353,0.0254494,-0.007713,0.135494,0.008749,-112.572,3.224,88.49,0.493945,35.514,0.639665,49.0108
0.150324,-1,0.175358,0.0192777,-0.215064,0.263266,0.940446,-0.0335721,0.2854,0.95782,-0.0654215,0.997473,0.0277019,-0.009766,0.158632,0.009807,-112.079,3.192,88.485,1.71395,28.7316,2.15452,49.8606
0.173991,1,0.0995496,-0.172042,-0.0693591,0.259146,0.963345,0.112142,0.275063,0.954864,-0.0675685,0.997401,0.0250065,-0.012442,0.16132,0.008505,-111.872,3.185,88.481,0.365127,27.1594,0.553836,50.5387
0.227879,1,1,0.0961521,-0.0810748,0.259444,0.962349,0.100873,0.276095,0.955822,-0.0583925,0.997889,0.0284293,-0.00978,0.180589,0.015,-111.314,3.155,88.475,1.02864,22.9715,1.49876,54.4954
0.255431,-1,-1,0.0215426,-0.0871467,0.259675,0.961756,0.0945729,0.276325,0.9564,-0.0633735,0.997622,0.0270871,-0.011508,0.186292,0.0141,-111.026,3.14,88.471,2.15573,22.1091,3.22385,54.8418
0.310091,0.227575,1,1,-0.0949664,0.259826,0.960975,0.0882859,0.277146,0.956763,-0.0545076,0.998247,0.023053,-0.011931,0.200277,0.01682,-110.387,3.105,88.469,1.54755,18.3817,2.82433,61.1311
0.336971,-1,1,-1,-0.102207,0.260275,0.96011,0.0805682,0.278299,0.957109,-0.0567019,0.997994,0.028147,-0.012798,0.19695,0.019168,-110.105,3.087,88.467,2.49277,16.0802,4.49305,63.9245
0.391434,0.00974233,-0.086308,1,-0.118206,0.261035,0.958065,0.0642285,0.279346,0.95804,-0.0451385,0.998563,0.0289009,-0.012105,0.202709,0.015276,-109.451,3.045,88.462,1.28357,15.3051,3.4009,67.9056
0.418625,0.197332,0.157772,0.0183451,-0.126963,0.261453,0.956829,0.0557777,0.279819,0.958431,-0.0514353,0.998439,0.0217808,-0.012293,0.180151,0.016772,-109.159,3.029,88.459,0.76725,14.3416,3.61682,68.1243
0.473333,-1,0.0972846,-0.169245,-0.135416,0.261667,0.955611,0.0470724,0.280626,0.958662,-0.0450734,0.998361,0.0352615,-0.010043,0.196216,0.012709,-108.549,2.989,88.453,1.88443,12.3773,5.1607,65.4735
0.510033,0.0104085,-0.0901717,0.0785656,-0.144009,0.261971,0.954271,0.0382792,0.28138,0.958833,-0.0555362,0.998018,0.0296057,-0.012164,0.156076,0.013838,-108.187,2.971,88.447,0.779665,11.7955,4.28054,62.1478
0.575916,-1,-0.960305,0.0176789,-0.160969,0.262172,0.951501,0.0218152,0.282216,0.959103,-0.0472064,0.998471,0.0287521,-0.010702,0.187956,0.010561,-107.509,2.933,88.438,1.86864,14.2013,5.27563,56.269
0.608172,1,1,1,-0.168497,0.262803,0.950023,0.0140165,0.283212,0.958955,-0.0505226,0.998407,0.0251082,-0.012462,0.153576,0.010044,-107.199,2.92,88.435,1.49433,13.0835,3.76253,52.8127
0.662735,-1,1,-1,-0.175577,0.262686,0.948772,0.00622589,0.283561,0.958934,-0.053135,0.998223,0.0269762,-0.011854,0.181138,0.010498,-106.652,2.887,88.429,2.13719,6.40226,5.89583,46.5462
0.691572,0.00694447,-0.120016,-1,-0.183717,0.262984,0.947147,-0.00119963,0.284217,0.958759,-0.0491406,0.998308,0.0310952,-0.013388,0.174089,0.008219,-106.377,2.885,88.423,1.15518,6.31448,4.59473,46.8726
0.746861,-1,-0.0170278,0.0199439,-0.198283,0.263061,0.944183,-0.0167304,0.284847,0.958427,-0.0556544,0.997994,0.0301802,-0.012031,0.184413,0.014912,-105.811,2.86,88.417,1.25167,5.9723,4.77792,49.052
0.77163,0.261549,0.323112,1,-0.205619,0.262951,0.942644,-0.0234731,0.285449,0.958106,-0.0493577,0.998575,0.0202938,-0.013078,0.179497,0.01386,-105.524,2.846,88.412,1.04059,5.81281,3.41097,50.018
0.837495,-0.215552,1,-0.369091,-0.220345,0.26329,0.939216,-0.0389909,0.286258,0.957359,-0.0548973,0.998208,0.0238059,-0.011715,0.187966,0.018805,-104.864,2.794,88.409,1.16609,3.52802,4.0269,58.7383
0.869474,0.0100088,-0.119882,0.243906,-0.227887,0.263087,0.937471,-0.0469852,0.286499,0.956928,-0.0565306,0.998263,0.0166206,-0.010193,0.200631,0.02495,-104.52,2.773,88.401,0.255251,2.7912,2.87281,60.9759
0.925984,0.197065,-0.904747,1,-0.235642,0.263237,0.93551,-0.054748,0.286697,0.956456,-0.0387014,0.998884,0.0270604,-0.013479,0.198891,0.013281,-103.712,2.721,88.392,1.37713,8.89054,2.03192,59.2458
0.954364,-0.0752592,0.0983505,-0.165514,-0.244296,0.263021,0.933349,-0.0621645,0.287188,0.955855,-0.0425171,0.998387,0.037623,-0.009725,0.195351,0.018116,-103.487,2.708,88.387,0.210121,8.27472,2.49821,61.1328
1.00958,0.00867648,-0.0911043,-0.983954,-0.26001,0.263539,0.928947,-0.0795415,0.287777,0.954388,-0.0472973,0.998566,0.0250819,-0.013718,0.157544,0.015576,-102.944,2.674,88.38,0.96887,3.40946,2.22588,66.1313
1.03368,-1,0.162035,0.0208765,-0.269199,0.263313,0.92639,-0.0891699,0.288478,0.953325,-0.0449572,0.998662,0.0255438,-0.011059,0.163062,0.013052,-102.715,2.662,88.376,0.833863,3.19973,2.7516,67.52
1.08925,1,0.100882,-0.169111,-0.285607,0.26354,0.921399,-0.105716,0.288938,0.951493,-0.0493995,0.998503,0.023475,-0.011635,0.161658,0.01597,-102.204,2.631,88.368,1.25545,2.79377,1.25295,70.0338
1.11616,-1,1,-0.0194926,-0.29297,0.263851,0.918994,-0.113047,0.2893,0.95054,-0.0445463,0.998791,0.0208018,-0.012321,0.180276,0.011842,-101.942,2.617,88.361,1.3007,3.31368,2.84565,71.8731
