test for writing sensor data,,,,,,,,,,,,,,,,,,,,,,
Time, omega_x, omega_y, omega_z,cam1_x, cam1_y, cam1_z, cam2_x, cam2_y, cam2_z,g_x, g_y, g_z,true_omega_x, true_omega_y, true_omega_z,true_attitude_x, true_attitude_y, true_attitude_z,bias_err_proposed, attitude_err_proposed,bias_err_mahony, attitude_err_mahony
0.000000192,0.0147686,0.0613521,0.00271446,-0.215278,0.26352,0.940326,-0.0335482,0.285702,0.957731,-0.0383472,0.999074,0.0195315,-0.002319,-0.002877,-0.000371,-107.074,2.601,88.582,0.0665348,48.1802,0.0665348,48.1802
0.0580092,-1,1,0.0136394,-0.215278,0.26352,0.940326,-0.0335482,0.285702,0.957731,-0.0486472,0.998494,0.0253456,-0.00017,0.001519,0.0004,-107.069,2.601,88.583,1.72534,38.6951,1.78433,48.4997
0.0886928,0.0579355,1,1,-0.215278,0.26352,0.940326,-0.0335482,0.285702,0.957731,-0.0470545,0.998556,0.0259259,-0.000448,-0.000057,-0.000981,-107.067,2.601,88.583,1.51372,34.1513,1.56383,49.0077
0.148637,1,1,1,-0.215278,0.26352,0.940326,-0.0335482,0.285702,0.957731,-0.0399912,0.998962,0.0217855,-0.000793,-0.001663,-0.000835,-107.068,2.601,88.583,1.49189,26.5988,1.47649,51.9114
0.208141,0.0170335,0.0757411,-1,-0.215278,0.26352,0.940326,-0.0335482,0.285702,0.957731,-0.0465646,0.998586,0.025631,-0.000645,-0.00231,-0.001806,-107.073,2.601,88.584,1.48184,21.3944,2.22709,57.1352
0.230906,0.0410151,0.162075,0.0105751,-0.215278,0.26352,0.940326,-0.0335482,0.285702,0.957731,-0.0475985,0.998548,0.0252293,-0.000238,0.002014,0.000416,-107.074,2.601,88.584,0.970571,19.5813,1.98007,59.1151
0.285687,-0.0615729,0.0829356,-0.0120742,-0.215278,0.26352,0.940326,-0.0335482,0.285702,0.957731,-0.0479207,0.99857,0.0237049,0.000412,-0.000528,-0.000519,-107.074,2.603,88.584,1.10645,15.8298,2.62801,63.7512
0.311586,0.0175664,0.0594869,0.0915797,-0.215278,0.26352,0.940326,-0.0335482,0.285702,0.957731,-0.0470273,0.998512,0.027603,-0.000936,-0.000232,-0.000299,-107.076,2.602,88.585,1.02272,14.3244,2.79078,65.6917
0.365854,-1,1,0.0104419,-0.215278,0.26352,0.940326,-0.0335482,0.285702,0.957731,-0.0478696,0.99851,0.0261851,0.00023,-0.000821,-0.001555,-107.075,2.602,88.585,2.36105,9.92482,4.59508,71.1546
0.397225,1,-1,1,-0.215278,0.26352,0.940326,-0.0335482,0.285702,0.957731,-0.0435682,0.998795,0.0226023,-0.000946,-0.001844,0.001615,-107.077,2.603,88.583,1.0666,10.2887,2.33213,71.0237
0.45195,-1,1,-1,-0.215278,0.26352,0.940326,-0.0335482,0.285702,0.957731,-0.0493975,0.998442,0.0259719,0.000096,0.000404,-0.003466,-107.08,2.603,88.582,2.57614,6.77093,5.66072,65.7261
0.479262,0.0191652,0.0425665,1,-0.215278,0.26352,0.940326,-0.0335482,0.285702,0.957731,-0.0433154,0.998809,0.022475,0.001558,-0.001129,0.002346,-107.078,2.603,88.582,1.21569,5.74546,3.9763,64.1381
0.533724,0.0416813,1,1,-0.215278,0.26352,0.940326,-0.0335482,0.285702,0.957731,-0.0413611,0.998927,0.0208345,-0.000972,-0.003675,-0.000686,-107.076,2.603,88.582,1.70342,4.16795,4.52507,58.571
0.560352,-0.0567766,0.0798712,-0.0295275,-0.215278,0.26352,0.940326,-0.0335482,0.285702,0.957731,-0.0496719,0.998323,0.0297217,-0.000376,0.000597,0.000569,-107.075,2.603,88.582,0.861446,3.86851,4.58092,53.8852
0.617748,0.0208972,0.0565558,0.788779,-0.215278,0.26352,0.940326,-0.0335482,0.285702,0.957731,-0.0425298,0.998939,0.0176867,0.000503,-0.000604,0.002212,-107.073,2.603,88.582,0.940692,6.29524,4.22093,46.497
0.642993,-0.760238,0.147686,0.00711109,-0.215278,0.26352,0.940326,-0.0335482,0.285702,0.957731,-0.0485599,0.998335,0.0311151,-0.00219,-0.000238,-0.004403,-107.072,2.604,88.582,1.38263,5.99657,5.13582,43.3707
0.701287,-1,0.0788054,-0.0159379,-0.215278,0.26352,0.940326,-0.0335482,0.285702,0.957731,-0.0438431,0.998785,0.0224837,0.001876,0.002006,0.003453,-107.073,2.603,88.583,1.4731,5.36303,5.10659,40.5262
0.73586,0.0392831,0.166871,0.0117742,-0.215278,0.26352,0.940326,-0.0335482,0.285702,0.957731,-0.0430804,0.998932,0.0166796,0.001422,-0.001489,0.002876,-107.075,2.602,88.582,0.538778,4.77702,4.05739,41.8647
0.790194,0.167052,0.0852005,-0.0128736,-0.215278,0.26352,0.940326,-0.0335482,0.285702,0.957731,-0.0400532,0.999076,0.0155706,0.000202,-0.003374,0.002308,-107.075,2.603,88.581,0.36397,4.16008,3.59083,46.8902
0.826686,1,1,0.100106,-0.215278,0.26352,0.940326,-0.0335482,0.285702,0.957731,-0.0391291,0.999022,0.0205889,-0.000611,-0.003888,-0.001655,-107.073,2.603,88.581,1.50786,3.21045,3.32923,52.6397
0.885997,-1,1,0.0147053,-0.215278,0.26352,0.940326,-0.0335482,0.285702,0.957731,-0.0407164,0.998984,0.0193352,0.000604,-0.00067,0.002889,-107.072,2.603,88.579,1.6368,4.15434,4.28358,62.9127
0.918812,-1,-1,1,-0.215278,0.26352,0.940326,-0.0335482,0.285702,0.957731,-0.0498686,0.99829,0.0304923,0.000804,0.002622,-0.001989,-107.072,2.604,88.58,1.62728,5.72507,3.08992,62.4588
0.973017,1,1,1,-0.215278,0.26352,0.940326,-0.0335482,0.285702,0.957731,-0.0474898,0.99851,0.0268598,0.001676,0.003477,0.002711,-107.074,2.603,88.581,1.87962,8.35157,2.49397,67.7516
1.00011,0.0153015,0.0425665,-1,-0.215278,0.26352,0.940326,-0.0335482,0.285702,0.957731,-0.0457742,0.998653,0.0244197,-0.002037,-0.004156,-0.00248,-107.077,2.603,88.581,1.03817,5.66329,2.57461,70.7174
