test for writing sensor data,,,,,,,,,,,,,,,,,,,,
Time, omega_x, omega_y, omega_z,cam1_x, cam1_y, cam1_z, cam2_x, cam2_y, cam2_z,g_x, g_y, g_z,true_omega_x, true_omega_y, true_omega_z,true_attitude_x, true_attitude_y, true_attitude_z,bias_err, attitude_err
0.000000224,-0.00769875,0.00337458,0.0105654,-0.0222249,0.100644,0.994674,0.149969,0.0271635,0.988318,0.349673,0.936354,0.0311367,0.000971,-0.008393,0.002707,-54.939,-22.534,87.383,0.016597,38.2203
0.0572667,-0.00687998,0.00426125,0.0101427,-0.0222249,0.100644,0.994674,0.150338,0.0275144,0.988252,0.371961,0.927303,0.0418953,0.000315,-0.004234,-0.005326,-54.931,-22.534,87.381,0.522182,31.0964
0.0895673,-16.5284,0.10962,-0.0675457,-0.0222249,0.100644,0.994674,0.150338,0.0275144,0.988252,0.370463,0.928001,0.0396267,-0.003039,-0.014278,-0.003118,-54.931,-22.534,87.383,17.1423,38.2871
0.142572,17.0516,10.0202,0.0739962,-0.0222249,0.100644,0.994674,0.150338,0.0275144,0.988252,0.392685,0.918679,0.0427364,-0.003018,-0.000031,-0.00074,-54.928,-22.537,87.383,19.3438,15.8985
0.165997,-11.0094,16.6982,-15.9335,-0.0218,0.100264,0.994722,0.150699,0.0271772,0.988206,0.385721,0.921508,0.045193,0.000152,0.000527,0.000363,-54.927,-22.538,87.383,26.355,10.5304
0.220131,0.0457992,-15.8612,12.6723,-0.0215029,0.100224,0.994732,0.150699,0.0271772,0.988206,0.387289,0.920998,0.0420678,0.001053,0.004424,0.000771,-54.931,-22.537,87.383,19.7836,28.8059
0.247306,15.9618,13.6982,-17.4293,-0.0217769,0.100576,0.994691,0.150699,0.0271772,0.988206,0.380266,0.92403,0.0395706,-0.000183,-0.001929,-0.000289,-54.934,-22.536,87.383,27.0722,7.65477
0.301737,-0.0334856,0.00958238,14.035,-0.0207816,0.100233,0.994747,0.150328,0.0268255,0.988272,0.385074,0.921526,0.0500851,0.001478,-0.000618,-0.000918,-54.944,-22.535,87.387,13.9994,33.6513
0.332411,0.0889003,0.81254,0.0654824,-0.021173,0.10028,0.994734,0.150328,0.0268255,0.988272,0.386974,0.921198,0.0405674,-0.001773,-0.001789,-0.001419,-54.947,-22.536,87.388,2.15198,28.5278
0.396163,-0.030825,0.137289,-0.0542429,-0.021173,0.10028,0.994734,0.150699,0.0271772,0.988206,0.38656,0.921277,0.0426669,0.002528,0.001187,0.003543,-54.99,-22.535,87.396,1.81973,14.7469
0.425935,-14.0068,14.5155,0.740201,-0.0207816,0.100233,0.994747,0.150657,0.0268344,0.988222,0.380449,0.92405,0.0372889,0.002514,0.007291,-0.002607,-54.976,-22.534,87.393,21.7189,8.8723
0.480988,-13.3251,-12.0092,0.0548402,-0.0208189,0.100647,0.994704,0.150961,0.0268269,0.988176,0.383808,0.921828,0.054076,0.005378,0.023031,-0.068204,-54.986,-22.432,87.392,18.1457,52.9626
0.509092,0.157543,9.74831,12.6723,-0.0212984,0.0998303,0.994777,0.151638,0.0268238,0.988072,0.374637,0.925903,0.0484788,0.005641,0.012763,-0.126895,-54.973,-22.269,87.391,16.0511,35.2003
0.565214,-9.6477,11.7911,-10.8556,-0.0201202,0.0999571,0.994788,0.151664,0.0264786,0.988077,0.366782,0.929618,0.0357861,0.003154,0.002708,-0.339957,-55.078,-21.46,87.425,19.5069,24.6467
