test for writing sensor data,,,,,,,,,,,,,,,,,,,,
Time, omega_x, omega_y, omega_z,cam1_x, cam1_y, cam1_z, cam2_x, cam2_y, cam2_z,g_x, g_y, g_z,true_omega_x, true_omega_y, true_omega_z,true_attitude_x, true_attitude_y, true_attitude_z,bias_err, attitude_err
0.000000256,0.00134716,0.0235949,0.540549,-0.0483793,0.113344,0.992377,0.129531,0.164373,0.977857,-0.277258,0.960698,0.0136892,-0.181925,-0.021657,-0.119744,84.144,-14.101,-90.109,0.686749,38.7012
0.0565838,0.0109252,0.0278518,0.532036,-0.0482604,0.113082,0.992413,0.129168,0.16506,0.977789,-0.28547,0.958218,0.0180082,-0.179784,-0.018144,-0.115873,84.205,-14.519,-90.775,0.78594,36.9842
0.115189,0.0103931,0.028916,0.531504,-0.0485046,0.112776,0.992436,0.128849,0.165381,0.977776,-0.29238,0.956035,0.0225851,-0.180493,-0.027334,-0.111713,84.279,-14.856,-91.334,1.00708,42.1284
0.14817,0.0103931,0.0310444,0.531504,-0.0485434,0.112002,0.992522,0.128834,0.166053,0.977665,-0.299724,0.953845,0.0185661,-0.181948,-0.027026,-0.112387,84.341,-15.062,-91.688,1.12098,45.8959
0.201507,0.0114573,0.0321087,0.530971,-0.047777,0.107813,0.993022,0.126384,0.169785,0.977344,-0.303021,0.952776,0.0199155,-0.182768,-0.034505,-0.109577,84.441,-15.393,-92.262,1.25976,51.6926
0.226959,0.0109252,0.0331729,0.530439,-0.047777,0.107813,0.993022,0.125669,0.170787,0.977261,-0.306381,0.951733,0.0182868,-0.182814,-0.032668,-0.111448,84.502,-15.564,-92.566,1.30845,54.1073
0.291562,10.6489,-6.05313,4.22703,-0.0482384,0.106804,0.993109,0.124972,0.171465,0.977232,-0.315982,0.94856,0.0197489,-0.183175,-0.02976,-0.107239,84.63,-15.947,-93.255,12.1193,50.803
0.321209,12.6922,5.11644,-9.03535,-0.04754,0.106504,0.993175,0.125313,0.171794,0.97713,-0.319615,0.947307,0.0213417,-0.181861,-0.028037,-0.107098,84.691,-16.127,-93.586,15.2689,47.9104
0.376867,-5.83327,-8.23266,-12.6638,-0.0474668,0.105779,0.993256,0.124293,0.172823,0.977079,-0.327847,0.94455,0.0184746,-0.181672,-0.025119,-0.103543,84.803,-16.467,-94.218,16.387,68.5459
0.436416,0.0529621,-12.5917,6.679,-0.0478278,0.10543,0.993276,0.124273,0.17314,0.977026,-0.333441,0.942608,0.0175388,-0.182556,-0.027499,-0.103563,84.92,-16.8,-94.852,14.4594,58.3995
