test for writing sensor data,,,,,,,,,,,,,,,,,,,,
Time, omega_x, omega_y, omega_z,cam1_x, cam1_y, cam1_z, cam2_x, cam2_y, cam2_z,g_x, g_y, g_z,true_omega_x, true_omega_y, true_omega_z,true_attitude_x, true_attitude_y, true_attitude_z,bias_err, attitude_err
0.000000224,0.0145021,0.0582878,-0.000483093,0.000150762,0.149068,0.988827,0.162248,0.0563864,0.985138,0.46697,0.883443,0.0383081,0.036312,0.064684,0.140327,95.843,15.916,74.876,0.142633,43.2857
0.0571821,0.0155848,0.0577469,0.00618713,0.000150762,0.149068,0.988827,0.162248,0.0563864,0.985138,0.462776,0.885271,0.046196,0.03736,0.06545,0.138653,96.151,15.537,75.085,0.540863,34.511
0.113659,1,1,1,0.000150762,0.149068,0.988827,0.162248,0.0563864,0.985138,0.462788,0.885409,0.0433353,0.036975,0.064687,0.139099,96.445,15.176,75.281,1.77087,27.8211
0.145985,0.0141192,0.0405601,-0.575767,0.000150762,0.149068,0.988827,0.162248,0.0563864,0.985138,0.464547,0.884516,0.0427416,0.037058,0.065582,0.139068,96.621,14.961,75.397,1.28755,23.7717
0.204803,0.0412984,-0.505821,1,0.000150762,0.149068,0.988827,0.162248,0.0563864,0.985138,0.464198,0.884829,0.0399871,0.036221,0.063657,0.140873,96.926,14.58,75.598,1.29827,19.4209
0.229659,-0.178933,0.0842599,0.0039222,0.000150762,0.149068,0.988827,0.162248,0.0563864,0.985138,0.463951,0.884823,0.0428751,0.035972,0.065545,0.138778,97.061,14.414,75.685,1.5301,17.2662
0.286359,0.0131866,0.0569475,0.198973,0.000150762,0.149068,0.988827,0.162248,0.0563864,0.985138,0.463144,0.885356,0.0405225,0.037054,0.064582,0.138904,97.364,14.033,75.883,1.43644,12.8229
0.35788,-1,1,0.0136481,0.000150762,0.149068,0.988827,0.162248,0.0563864,0.985138,0.464778,0.884386,0.0429214,0.03697,0.065275,0.138642,97.744,13.548,76.128,2.80385,7.05487
0.388048,-1,0.0830608,-0.0131314,0.000150762,0.149068,0.988827,0.162248,0.0563864,0.985138,0.463086,0.885219,0.0440255,0.036626,0.06251,0.137903,97.899,13.348,76.228,2.22666,6.15129
0.451738,1,1,-1,0.000150762,0.149068,0.988827,0.162248,0.0563864,0.985138,0.464574,0.884348,0.0458233,0.036669,0.065996,0.138871,98.219,12.931,76.434,2.17072,8.93001
0.483008,-1,-1,-1,0.000150762,0.149068,0.988827,0.162248,0.0563864,0.985138,0.466391,0.883489,0.0438836,0.036536,0.065877,0.139539,98.388,12.713,76.541,2.13963,9.26355
0.550686,0.0235786,-1,1,0.000150762,0.149068,0.988827,0.162248,0.0563864,0.985138,0.464123,0.884788,0.0417189,0.036949,0.065179,0.139765,98.737,12.257,76.759,1.12297,3.41246
0.585194,-0.170406,0.0798633,-0.0293856,0.000150762,0.149068,0.988827,0.162248,0.0563864,0.985138,0.464742,0.88443,0.0423979,0.036758,0.065587,0.139382,98.914,12.023,76.87,1.04188,3.04202
0.653025,0.0175832,0.0564146,-0.0300518,0.000150762,0.149068,0.988827,0.162248,0.0563864,0.985138,0.465243,0.884155,0.0426481,0.038145,0.065816,0.141355,99.254,11.567,77.082,0.738426,3.0878
0.685263,-1,0.278511,0.0100508,0.000150762,0.149068,0.988827,0.162248,0.0563864,0.985138,0.464783,0.884623,0.037674,0.036983,0.066641,0.139696,99.418,11.346,77.184,1.54338,3.21116
0.739658,-1,0.0799965,-0.0136643,0.000150762,0.149068,0.988827,0.162248,0.0563864,0.985138,0.461368,0.886321,0.0396799,0.034776,0.060917,0.135742,99.663,10.995,77.339,1.28496,3.35329
0.773119,0.0575526,1,0.204302,0.000150762,0.149068,0.988827,0.162248,0.0563864,0.985138,0.461741,0.885939,0.0436644,0.036929,0.064861,0.138999,99.851,10.744,77.453,1.37393,3.97744
0.836772,-1,-1,0.0105838,0.000150762,0.149068,0.988827,0.162248,0.0563864,0.985138,0.462767,0.88565,0.0383509,0.039463,0.068785,0.138467,100.156,10.325,77.642,1.17881,4.23597
0.865414,0.0195817,0.0560149,0.00232343,0.000150762,0.149068,0.988827,0.162574,0.0563922,0.985084,0.461887,0.885812,0.0446988,0.037109,0.067089,0.136891,100.295,10.142,77.724,0.355962,3.63062
0.920349,0.0190542,0.0537743,0.00287,0.000150762,0.149068,0.988827,0.162585,0.0567331,0.985062,0.4655,0.883889,0.0452726,0.038125,0.067869,0.127188,100.613,9.725,77.92,0.375698,2.81645
0.982949,0.0182921,0.0517512,0.00326681,0.000150762,0.149068,0.988827,0.162943,0.0563967,0.985022,0.462305,0.885769,0.0410892,0.039137,0.06315,0.110558,100.857,9.43,78.08,0.417271,3.23637
1.00992,0.0175604,0.0500649,0.00351984,0.000150762,0.149068,0.988827,0.162585,0.0567331,0.985062,0.460362,0.886847,0.0396088,0.039747,0.063136,0.105864,100.968,9.301,78.155,0.432536,3.59739
