test for writing sensor data,,,,,,,,,,,,,,,,,,,,
Time, omega_x, omega_y, omega_z,cam1_x, cam1_y, cam1_z, cam2_x, cam2_y, cam2_z,g_x, g_y, g_z,true_omega_x, true_omega_y, true_omega_z,true_attitude_x, true_attitude_y, true_attitude_z,bias_err, attitude_err
0.000000224,-0.0215337,0.00550303,-0.00593014,-0.0226184,0.100704,0.994659,0.149305,0.0268405,0.988427,0.39195,0.919901,0.0125776,0.000478,0.002635,-0.001168,-112.956,-22.953,89.41,0.0227047,38.0386
0.0565423,0.0944669,15.7422,11.0381,-0.0222249,0.100644,0.994674,0.149675,0.0271922,0.988361,0.391374,0.920147,0.0124537,0.001394,0.001574,-0.001371,-112.903,-22.953,89.408,19.4429,60.557
0.089179,-0.309939,0.117779,-0.130444,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.392513,0.919677,0.0113402,0.000448,0.001559,-0.000092,-112.863,-22.953,89.408,1.02779,51.9443
0.143418,-0.0156804,0.0044388,15.6701,-0.0226184,0.100704,0.994659,0.149305,0.0268405,0.988427,0.390922,0.920381,0.00887532,0.00165,0.003553,0.00012,-112.814,-22.953,89.405,15.2651,50.9107
0.170091,-9.91989,0.442367,0.04196,-0.0222249,0.100644,0.994674,0.149675,0.0271922,0.988361,0.390465,0.920549,0.0112349,0.001505,0.002141,-0.000204,-112.787,-22.953,89.405,10.5699,41.6027
0.232709,-16.1435,0.112458,-0.0703158,-0.0226184,0.100704,0.994659,0.149305,0.0268405,0.988427,0.39031,0.920599,0.0124654,0.001846,0.002107,-0.000432,-112.739,-22.951,89.405,16.6658,32.4396
0.261916,11.0576,9.33929,0.370273,-0.0226184,0.100704,0.994659,0.149675,0.0271922,0.988361,0.388634,0.921335,0.0103051,0.002609,0.002073,-0.001628,-112.712,-22.951,89.404,14.6602,16.7347
0.316831,-9.51123,14.8818,0.0414279,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.386106,0.922404,0.00970628,0.001135,0.001451,-0.000848,-112.663,-22.949,89.402,18.2968,22.2229
0.345476,0.158852,-1.69406,9.67586,-0.0236757,0.10084,0.994621,0.149305,0.0268405,0.988427,0.387399,0.921872,0.00857936,0.000441,0.002707,-0.000111,-112.635,-22.949,89.403,8.99395,16.3417
0.399719,1.79457,9.88417,15.2625,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.388193,0.921524,0.0100166,0.000501,0.002041,-0.000652,-112.586,-22.948,89.401,17.8561,38.5504
0.424393,-0.0140841,0.0166774,-1.76616,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.388983,0.921179,0.0110321,0.001559,0.002429,-0.000241,-112.564,-22.948,89.401,2.57831,37.1315
0.478934,0.0960632,0.467909,0.0435563,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.391651,0.920058,0.0101263,0.000899,0.002168,-0.002191,-112.508,-22.949,89.4,1.05227,35.8176
0.508228,-0.367407,0.11565,-0.0676552,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.390913,0.92036,0.0111194,0.002583,0.003379,-0.000821,-112.484,-22.948,89.4,0.847217,35.2859
0.563083,-0.013552,0.0044388,0.395815,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.391237,0.920232,0.0103064,0.00074,0.001591,-0.001428,-112.436,-22.947,89.397,0.605051,34.078
0.594959,-9.37501,16.2695,0.0408958,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.392019,0.919922,0.00807128,0.000523,0.002,-0.000141,-112.41,-22.946,89.397,18.3518,50.2803
0.651598,-15.5065,-3.32871,9.53964,-0.0226184,0.100704,0.994659,0.149675,0.0271922,0.988361,0.39502,0.918646,0.00705392,0.001641,0.001572,-0.000325,-112.357,-22.944,89.396,17.5118,24.1755
0.680121,3.42922,9.47551,15.5206,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.390221,0.920623,0.013477,0.001182,0.00141,-0.000277,-112.336,-22.944,89.396,17.8724,31.788
0.73671,-0.00929509,-0.00301077,0.00151944,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.391555,0.920092,0.0107177,0.002045,0.001721,-0.000842,-112.281,-22.946,89.394,1.61533,28.7995
0.765709,-0.00892329,-0.00442282,0.00145866,-0.0222249,0.100644,0.994674,0.149675,0.0271922,0.988361,0.390839,0.920425,0.00795756,0.000919,0.001429,-0.000427,-112.254,-22.946,89.396,1.71297,27.2758
0.820572,-0.00907718,-0.00577839,0.00191114,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.391879,0.919939,0.0119619,0.001419,0.001975,0.000817,-112.204,-22.946,89.395,1.82366,26.3092
0.850377,-0.0087141,-0.00503643,0.0018347,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.387275,0.921914,0.00961286,0.002163,0.002617,-0.000436,-112.18,-22.947,89.394,1.84819,26.5303
0.907209,-0.0078547,-0.00432415,0.00125048,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.393006,0.919463,0.011529,0.000518,0.00367,-0.000043,-112.126,-22.948,89.392,1.84006,27.5087
0.937215,-0.00651886,-0.00364035,0.000178805,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.389732,0.920869,0.0105085,0.001501,0.002622,0.000094,-112.099,-22.948,89.391,1.80848,28.1746
0.992058,-0.00574728,-0.00196226,-0.000850004,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.391452,0.920172,0.00695551,0.000945,0.002557,-0.001201,-112.047,-22.949,89.389,1.71479,29.2931
1.01718,-0.00500656,-0.000862114,-0.00132683,-0.0222249,0.100644,0.994674,0.149675,0.0271922,0.988361,0.38962,0.920902,0.0116518,0.00039,0.001183,-0.001141,-112.024,-22.949,89.388,1.65822,29.7434
1.07408,-0.0048063,-0.000316799,-0.00127376,-0.0226184,0.100704,0.994659,0.149305,0.0268405,0.988427,0.391261,0.920254,0.00693761,0.001475,0.002877,-0.001227,-111.977,-22.949,89.388,1.51034,30.4824
1.0995,-0.00461405,-0.000814952,-0.00071198,-0.0226184,0.100704,0.994659,0.149305,0.0268405,0.988427,0.391737,0.920009,0.0112333,-0.000734,0.001855,-0.000245,-111.955,-22.949,89.389,1.4383,30.6878
1.15371,-0.00442948,-0.00129318,-0.000172673,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.392099,0.919866,0.0102083,0.001933,0.002323,-0.000592,-111.907,-22.951,89.39,1.27294,30.8844
1.18364,-0.00425231,-0.000730626,-0.000676594,-0.0226184,0.100704,0.994659,0.149305,0.0268405,0.988427,0.391096,0.920274,0.0118298,0.000105,0.001884,-0.000725,-111.878,-22.951,89.391,1.18164,30.8869
1.23791,-0.00408221,-0.000190571,-0.00269284,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.390173,0.920649,0.0130704,0.001655,0.002248,-0.001806,-111.825,-22.949,89.389,1.01742,30.7366
1.26773,-0.00340809,0.00134954,-0.00411761,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.391398,0.920198,0.0065284,0.00098,0.002321,-0.00044,-111.798,-22.948,89.389,0.933601,30.5615
1.32538,-0.00276094,0.00436053,-0.00599622,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.391081,0.92028,0.0118417,0.000983,0.001051,-0.001245,-111.746,-22.948,89.386,0.779552,30.0984
1.35722,-0.00213968,0.00674024,-0.00728886,-0.022556,0.100584,0.994673,0.149305,0.0268405,0.988427,0.390592,0.920505,0.0104185,0.000441,0.002803,-0.00131,-111.72,-22.947,89.386,0.706531,29.7973
1.41187,-0.00460823,0.0115789,0.000665119,-0.0226184,0.100704,0.994659,0.149675,0.0271922,0.988361,0.389906,0.920726,0.0153964,0.001473,0.002627,0.000397,-111.671,-22.948,89.385,0.592061,29.1809
1.43963,-0.00238059,0.0106049,-0.00089397,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.39227,0.919799,0.00971979,0.001375,0.002024,-0.002122,-111.646,-22.949,89.383,0.549424,28.8237
1.4946,-0.000242053,0.00966991,-0.00187987,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.389959,0.920745,0.0126816,0.000715,0.00062,-0.001361,-111.594,-22.95,89.384,0.486409,28.1499
1.5272,0.00130011,0.00826146,-0.00282633,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.390948,0.920347,0.011027,0.000589,0.002339,-0.000926,-111.566,-22.949,89.383,0.46444,27.7394
1.58157,0.0160621,0.0191692,0.00545997,-0.0226184,0.100704,0.994659,0.149305,0.0268405,0.988427,0.391305,0.92018,0.0121899,0.001311,0.00235,-0.000494,-111.516,-22.949,89.379,0.421677,27.0048
1.61613,0.0164413,0.01687,0.00319826,-0.0222249,0.100644,0.994674,0.149675,0.0271922,0.988361,0.388703,0.921238,0.0151509,0.001157,0.002331,-0.000433,-111.484,-22.948,89.379,0.416001,26.5938
1.68144,-0.00260617,0.0115977,0.0117544,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.392854,0.91956,0.00869826,0.000982,0.001894,-0.001863,-111.419,-22.948,89.38,0.42191,25.7118
1.7083,-0.00250192,0.0101121,0.0133275,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.389694,0.920909,0.0080549,0.001414,0.002609,0.000366,-111.394,-22.947,89.379,0.422805,25.3991
1.76625,-0.0141509,0.00817518,-0.0142794,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.389455,0.920931,0.014519,0.000548,0.002697,-0.000661,-111.339,-22.947,89.377,0.436119,24.9147
1.7957,-0.0135849,0.00733735,-0.0152407,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.389485,0.920974,0.0104354,0.001644,0.001316,-0.00033,-111.311,-22.945,89.377,0.43303,24.6909
1.85146,-0.000781586,0.00704385,-0.00288207,-0.0226184,0.100704,0.994659,0.149305,0.0268405,0.988427,0.393561,0.919261,0.00826509,0.000687,0.002128,0.000468,-111.263,-22.945,89.377,0.408616,24.1366
1.88455,-0.000750324,0.00829457,-0.00327762,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.391915,0.919953,0.00940188,-0.000656,0.002636,0.000124,-111.235,-22.945,89.376,0.398353,23.845
1.95273,-0.0124694,-0.00634039,-0.0082548,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.390644,0.920475,0.0111146,0.000118,0.003275,-0.001075,-111.169,-22.944,89.374,0.394938,23.3518
1.98002,-0.0109489,-0.00455429,-0.00690295,-0.0222249,0.100644,0.994674,0.149675,0.0271922,0.988361,0.389356,0.921003,0.0124708,0.001413,0.00142,-0.001197,-111.147,-22.943,89.372,0.382131,23.1862
2.04713,-0.0146737,-0.00455429,-0.0122241,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.389576,0.9209,0.0131835,0.001241,0.002388,-0.001967,-111.085,-22.942,89.37,0.357949,22.8365
2.0723,-0.0140868,-0.00130715,-0.0127568,-0.0222249,0.100644,0.994674,0.149675,0.0271922,0.988361,0.392308,0.919776,0.0103105,0.00079,0.002337,0.00044,-111.06,-22.942,89.369,0.34415,22.6892
2.12699,0.0056014,0.00135341,-0.0170137,-0.0226184,0.100704,0.994659,0.149305,0.0268405,0.988427,0.392779,0.919586,0.0093032,0.001584,0.002158,-0.000633,-111.009,-22.942,89.367,0.301744,22.4
2.15499,0.00486652,0.000277609,-0.0188873,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.393034,0.919427,0.0133664,0.000796,0.003401,-0.001171,-110.985,-22.941,89.366,0.29065,22.2655
2.21981,0.00109606,0.00282065,-0.011491,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.388104,0.92157,0.00918711,0.00132,0.002196,-0.001697,-110.93,-22.942,89.366,0.260482,22.0733
2.24857,0.00105222,0.00168616,-0.012053,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.391557,0.920061,0.0130621,-0.000192,0.001003,-0.00114,-110.905,-22.942,89.366,0.247515,21.9598
2.30802,0.010205,0.0031512,-0.00135434,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.390195,0.920672,0.0105237,0.001901,0.002962,-0.001136,-110.851,-22.94,89.367,0.216932,21.7169
2.3374,0.00826435,0.0020035,0.00125397,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.391508,0.92009,0.0124613,0.001284,0.001877,-0.001252,-110.824,-22.941,89.367,0.206849,21.5856
2.3926,0.00589046,0.00192336,0.00324713,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.38982,0.9208,0.0129532,0.000472,0.003545,0.000096,-110.774,-22.941,89.366,0.191217,21.3914
2.45213,0.00565484,0.00440057,0.00158476,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.39201,0.919936,0.00684689,0.001634,0.002063,-0.000999,-110.722,-22.942,89.366,0.171817,21.18
2.4755,0.00542865,0.00575703,0.00152137,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.390404,0.920568,0.0117746,0.001084,0.001742,-0.001507,-110.7,-22.941,89.364,0.16431,21.1186
2.53946,-0.0147108,0.000418462,0.0106554,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.389505,0.920992,0.00777986,0.001391,0.001712,-0.000584,-110.642,-22.941,89.364,0.16195,20.9475
2.57179,-0.0141224,0.00142338,0.00971837,-0.0222249,0.100644,0.994674,0.149305,0.0268405,0.988427,0.391123,0.92029,0.00940741,0.002231,0.00318,-0.001469,-110.608,-22.939,89.364,0.155394,20.8507
