test for writing sensor data,,,,,,,,,,,,,,,,,,,,,,
Time, omega_x, omega_y, omega_z,cam1_x, cam1_y, cam1_z, cam2_x, cam2_y, cam2_z,g_x, g_y, g_z,true_omega_x, true_omega_y, true_omega_z,true_attitude_x, true_attitude_y, true_attitude_z,bias_err_proposed, attitude_err_proposed,bias_err_mahony, attitude_err_mahony
0.000000256,0.0162341,0.060153,0.00138214,-0.204412,0.117503,0.971807,-0.0211485,0.146837,0.988935,-0.00735948,0.999458,-0.0320955,-0.000804,0.000332,0.002529,-104.625,0.469,91.774,0.0622107,61.1382,0.0622107,61.1385
0.0580802,0.016608,0.057619,0.00286168,-0.204794,0.117471,0.97173,-0.0214928,0.146859,0.988924,-0.00664613,0.999373,-0.0347644,-0.002677,0.001934,0.002149,-104.622,0.467,91.775,0.0759595,20.9812,0.10711,56.1091
0.126295,0.0179901,0.0537794,0.00671218,-0.204412,0.117503,0.971807,-0.0211485,0.146837,0.988935,-0.00652849,0.999574,-0.0284602,-0.00103,-0.000064,-0.000072,-104.623,0.468,91.775,0.0876328,8.77171,0.20943,54.1047
0.189172,0.0170147,0.0516282,0.00631579,-0.204452,0.117805,0.971762,-0.0211485,0.146837,0.988935,-0.0108108,0.999389,-0.0332484,0.000484,-0.000646,0.003119,-104.624,0.468,91.776,0.0899684,6.6875,0.291169,56.906
0.215125,0.0160783,0.0493073,0.00580735,-0.204452,0.117805,0.971762,-0.0214928,0.146859,0.988924,-0.0103157,0.999602,-0.0262489,0.000895,0.000447,-0.002657,-104.624,0.469,91.776,0.0897361,6.45198,0.317167,57.8319
0.270584,0.0150515,0.0472071,0.00557506,-0.204412,0.117503,0.971807,-0.0211485,0.146837,0.988935,-0.00991615,0.999487,-0.0304641,0.001878,-0.001397,-0.001777,-104.625,0.467,91.777,0.0908037,6.27486,0.362131,58.4279
0.297764,0.0143215,0.0453188,0.00522415,-0.204412,0.117503,0.971807,-0.0211485,0.146837,0.988935,-0.0054148,0.999389,-0.0345321,-0.001286,0.001424,0.00274,-104.626,0.466,91.777,0.084671,6.32928,0.373981,58.1385
0.358784,0.0136207,0.043634,0.00475938,-0.204452,0.117805,0.971762,-0.0211485,0.146837,0.988935,-0.0113322,0.999378,-0.0333841,0.000233,0.000316,0.001642,-104.627,0.465,91.777,0.0855061,6.18209,0.402668,56.4467
0.393488,0.0128201,0.0421444,0.0041853,-0.204412,0.117503,0.971807,-0.0211485,0.146837,0.988935,-0.00694818,0.99921,-0.0391346,0.00026,0.000614,0.002281,-104.626,0.464,91.777,0.0842259,6.24362,0.413847,55.0679
0.453166,0.0123073,0.0409703,0.00337838,-0.204452,0.117805,0.971762,-0.0214928,0.146859,0.988924,-0.00522072,0.999512,-0.0308125,-0.002055,-0.000148,0.003365,-104.625,0.464,91.776,0.0823575,6.38983,0.428038,52.1696
0.484686,0.0119429,0.0398431,0.00247583,-0.204412,0.117503,0.971807,-0.0211485,0.146837,0.988935,-0.00469888,0.999431,-0.0334029,-0.000209,-0.000396,0.00146,-104.625,0.465,91.776,0.0831786,6.43615,0.435953,50.4191
0.539669,0.0115931,0.038633,0.00135358,-0.204412,0.117503,0.971807,-0.0211485,0.146837,0.988935,-0.00470677,0.999575,-0.0287522,-0.001025,0.000735,-0.00109,-104.624,0.465,91.777,0.0813239,6.49381,0.44421,47.1004
0.567262,0.0113852,0.0372156,0.000276225,-0.204412,0.117503,0.971807,-0.0214928,0.146859,0.988924,-0.0102153,0.999358,-0.0343233,0.00061,0.001032,0.002284,-104.626,0.465,91.777,0.0804257,6.35337,0.449365,45.3274
0.621799,-1,0.0406796,0.00773717,-0.204452,0.117805,0.971762,-0.0214928,0.146859,0.988924,-0.00460308,0.999277,-0.0377452,-0.001047,0.000277,0.000875,-104.629,0.466,91.778,1.06607,6.66212,1.39331,41.7108
0.650369,1,0.059332,-0.0146457,-0.204412,0.117503,0.971807,-0.0211485,0.146837,0.988935,-0.0108125,0.999438,-0.0317233,0.000779,0.000715,0.001197,-104.63,0.467,91.778,0.938312,6.26565,0.71355,39.755
0.705195,1,1,1,-0.204452,0.117805,0.971762,-0.0211485,0.146837,0.988935,-0.00663968,0.99922,-0.0389187,-0.000565,0.001289,0.002584,-104.628,0.466,91.778,1.71076,7.72254,1.71151,34.3326
0.732134,-1,-1,-1,-0.204412,0.117503,0.971807,-0.0214928,0.146859,0.988924,-0.0131548,0.999562,-0.0265136,0.000126,0.000004,-0.003276,-104.628,0.467,91.779,1.75352,6.29156,1.85832,33.3395
0.786967,0.0171141,-1,1,-0.204412,0.117503,0.971807,-0.0211485,0.146837,0.988935,-0.0128385,0.999469,-0.0299566,0.001869,-0.001601,0.001253,-104.626,0.466,91.78,1.40562,9.89004,1.23881,32.969
0.814906,1,1,-1,-0.204022,0.118147,0.971811,-0.0214928,0.146859,0.988924,-0.00429234,0.999604,-0.027798,-0.002848,-0.001006,-0.003555,-104.629,0.466,91.779,1.70131,6.19355,1.78195,29.5474
0.871368,0.0104526,0.0353504,0.00254116,-0.204452,0.117805,0.971762,-0.0211485,0.146837,0.988935,-0.00989456,0.999555,-0.0281536,0.001212,-0.001165,-0.001501,-104.629,0.467,91.779,0.0826672,6.11947,0.483024,25.607
0.90044,0.0101624,0.0340643,0.00282322,-0.204412,0.117503,0.971807,-0.0214928,0.146859,0.988924,-0.00805932,0.999458,-0.0319312,-0.001963,-0.000022,-0.00116,-104.628,0.466,91.778,0.078955,6.18962,0.481376,24.0117
0.956624,0.00988376,0.0330854,0.0033498,-0.204412,0.117503,0.971807,-0.0211485,0.146837,0.988935,-0.0143841,0.99944,-0.0301964,0.000488,0.001307,-0.001142,-104.629,0.468,91.779,0.0793646,6.05897,0.484787,21.0918
0.984863,0.00974421,0.0322736,0.00359951,-0.204667,0.117823,0.971714,-0.0211485,0.146837,0.988935,-0.0050119,0.999517,-0.0306851,-0.000688,0.000918,-0.00037,-104.626,0.467,91.779,0.0781442,6.22319,0.48491,19.7435
1.05351,0.00961025,0.0314943,0.00358343,-0.204412,0.117503,0.971807,-0.0211485,0.146837,0.988935,-0.00654792,0.999273,-0.0375482,0.00026,-0.000099,0.00025,-104.621,0.468,91.78,0.0783469,6.32608,0.487297,16.7147
1.08447,0.00935374,0.0311298,0.00318429,-0.204412,0.117503,0.971807,-0.0211485,0.146837,0.988935,-0.0049076,0.999412,-0.0339442,-0.000517,-0.000839,0.001958,-104.619,0.469,91.779,0.0778087,6.39336,0.487792,15.4746
1.14116,0.0092354,0.030652,0.00280112,-0.204832,0.117762,0.971687,-0.0214928,0.146859,0.988924,-0.00960493,0.999628,-0.025545,0.000254,0.00003,-0.00166,-104.621,0.469,91.779,0.0781407,6.30039,0.487847,13.3613
1.17368,0.00886598,0.0301934,0.00243327,-0.204452,0.117805,0.971762,-0.0214928,0.146859,0.988924,-0.00767258,0.999583,-0.0278259,-0.00112,-0.00004,-0.000738,-104.621,0.469,91.779,0.0767923,6.31751,0.486936,12.2635
1.2283,0.00863924,0.0294972,0.00182433,-0.2047,0.118133,0.97167,-0.0211485,0.146837,0.988935,-0.0052056,0.999578,-0.0285798,-0.000535,0.000588,-0.001892,-104.622,0.468,91.78,0.076347,6.43712,0.485857,10.6179
1.25367,0.00829367,0.028701,0.00136765,-0.204667,0.117823,0.971714,-0.0211485,0.146837,0.988935,-0.00878172,0.99938,-0.0341057,0.001207,0.000465,0.001727,-104.622,0.468,91.78,0.0767117,6.37191,0.486453,9.90411
1.30897,0.00796193,0.0278088,0.00719643,-0.204412,0.117503,0.971807,-0.0211485,0.146837,0.988935,-0.00500574,0.999615,-0.0272762,-0.000567,-0.000973,0.000043,-104.622,0.469,91.782,0.0769228,6.48221,0.484215,8.56098
1.33633,-1,-1,0.0074629,-0.204412,0.117503,0.971807,-0.0211485,0.146837,0.988935,-0.0136898,0.999358,-0.0331008,-0.000498,0.000459,-0.00007,-104.621,0.47,91.781,1.44854,7.35876,1.48081,9.30443
1.39109,1,1,1,-0.204667,0.117823,0.971714,-0.0211485,0.146837,0.988935,-0.00672556,0.999459,-0.0322012,-0.000099,-0.000172,0.001032,-104.62,0.47,91.781,1.7099,7.95773,1.784,8.7339
1.41547,-1,1,-1,-0.204412,0.117503,0.971807,-0.0214928,0.146859,0.988924,-0.00826996,0.999542,-0.029098,-0.000967,-0.000037,-0.000196,-104.62,0.47,91.781,1.77779,5.30849,2.14372,5.75513
1.47377,0.00423145,0.00662504,1,-0.2047,0.118133,0.97167,-0.0211485,0.146837,0.988935,-0.0120383,0.999381,-0.0330543,-0.000467,0.000185,0.001186,-104.623,0.469,91.782,1.00513,8.46588,1.06732,8.40177
1.50295,0.0258149,1,1,-0.204667,0.117823,0.971714,-0.0211485,0.146837,0.988935,-0.00977855,0.999653,-0.0244464,-0.000829,0.00101,-0.0026,-104.622,0.47,91.782,1.4305,8.76964,1.67096,9.56665
1.56357,0.00836162,0.0254106,-0.00346206,-0.203992,0.117837,0.971855,-0.0211485,0.146837,0.988935,-0.00163696,0.999466,-0.0326369,-0.002518,-0.000165,0.00103,-104.621,0.469,91.782,0.0688559,7.15627,0.468972,7.77692
