test for writing sensor data
Time, omega_x, omega_y, omega_z,cam1_x, cam1_y, cam1_z, cam2_x, cam2_y, cam2_z,g_x, g_y, g_z,true_omega_x, true_omega_y, true_omega_z,true_attitude_x, true_attitude_y, true_attitude_z,bias_err, attitude_err
1.6e-07,-0.00684553,-0.00859886,-0.0331687,-1.25172,0.832871,4.98625,-0.315279,1.02356,5.10558,-0.235,9.82,0.226,-0.177984,0.169072,0.144545,10.068,-67.482,-78.189,1.69189,1.94086
0.0597884,-7.74057,16.7168,0.0370702,-1.25172,0.832871,4.98625,-0.315279,1.02356,5.10558,-0.216,9.793,0.213,-0.177156,0.171372,0.14412,8.965,-66.898,-77.702,17.6152,2.31801
0.0955959,0.0245491,9.18897,6.81884,-1.23575,0.826836,4.93574,-0.317004,1.02348,5.10464,-0.244,9.792,0.239,-0.177326,0.174052,0.143664,8.31,-66.541,-77.423,11.1447,2.49398
0.149866,-17.2766,6.05536,16.7624,-1.25172,0.832871,4.98625,-0.315279,1.02356,5.10558,-0.17,9.825,0.223,-0.177352,0.172788,0.14499,7.305,-65.975,-77.016,27.3951,2.1163
0.173048,0.00379672,0.0611079,17.3084,-1.25172,0.832871,4.98625,-0.317004,1.02348,5.10464,-0.203,9.78,0.3,-0.176568,0.166571,0.1457,6.899,-65.742,-76.864,19.4071,1.90065
0.227877,0.0953201,17.3622,5.45664,-1.23575,0.826836,4.93574,-0.315279,1.02356,5.10558,-0.224,9.817,0.231,-0.177414,0.170027,0.145858,5.916,-65.169,-76.509,21.7721,1.51153
0.254706,0.209192,0.085053,-0.0656275,-1.25172,0.832871,4.98625,-0.315279,1.02356,5.10558,-0.21,9.826,0.229,-0.177661,0.170199,0.144846,5.475,-64.908,-76.358,4.59784,1.72805
0.308527,-0.0015244,-0.00913097,-0.177371,-1.25172,0.832871,4.98625,-0.315279,1.02356,5.10558,-0.169,9.787,0.244,-0.176934,0.168672,0.145166,4.543,-64.332,-76.051,4.24265,2.51356
0.337615,-6.6508,0.0126856,0.0338775,-1.25172,0.832871,4.98625,-0.317004,1.02348,5.10464,-0.23,9.81,0.248,-0.17761,0.17088,0.143628,4.033,-64.016,-75.895,5.78497,2.80941
0.392458,16.0986,-12.6064,6.5464,-1.25172,0.832871,4.98625,-0.317004,1.02348,5.10464,-0.217,9.787,0.292,-0.178808,0.168101,0.144964,3.121,-63.434,-75.635,24.3329,3.81004
0.421487,12.1471,6.60024,-14.8871,-1.25172,0.832871,4.98625,-0.315279,1.02356,5.10558,-0.212,9.809,0.217,-0.176816,0.171992,0.14356,2.671,-63.143,-75.512,24.8126,3.63001
0.475907,-6.78702,-14.787,-12.1153,-1.25172,0.832871,4.98625,-0.315279,1.02356,5.10558,-0.205,9.816,0.261,-0.17629,0.170062,0.144546,1.72,-62.504,-75.273,22.2933,2.67734
0.536397,0.0814852,-12.0615,6.95507,-1.25172,0.832871,4.98625,-0.317004,1.02348,5.10464,-0.221,9.796,0.22,-0.176143,0.170406,0.144124,0.87,-61.919,-75.077,17.6507,2.67578
